Time [sec]	Time (UTC)	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Geopot [m]	Dew [°C]
1108      	09:14:57  	438.1  	-10.7 	44    	5.1     	057   	-4.3      	-2.8      	6926      	-19.7
1110      	09:14:59  	437.3  	-10.8 	44    	4.8     	054   	-3.9      	-2.8      	6941      	-19.8
1112      	09:15:01  	436.5  	-10.9 	44    	4.5     	052   	-3.5      	-2.8      	6956      	-19.9
1114      	09:15:03  	435.7  	-11.0 	44    	4.2     	050   	-3.2      	-2.7      	6970      	-20.0
1116      	09:15:05  	434.9  	-11.1 	44    	4.1     	050   	-3.1      	-2.7      	6983      	-20.0
1118      	09:15:07  	434.2  	-11.2 	44    	4.0     	050   	-3.1      	-2.6      	6996      	-20.1
1120      	09:15:09  	433.5  	-11.3 	44    	3.9     	050   	-3.0      	-2.5      	7008      	-20.1
1122      	09:15:11  	432.7  	-11.4 	44    	3.9     	052   	-3.1      	-2.4      	7021      	-20.2
1124      	09:15:13  	432.0  	-11.5 	44    	3.9     	053   	-3.1      	-2.4      	7035      	-20.3
1126      	09:15:15  	431.2  	-11.6 	44    	3.9     	054   	-3.2      	-2.3      	7049      	-20.3
1128      	09:15:17  	430.4  	-11.7 	44    	4.0     	056   	-3.3      	-2.3      	7063      	-20.4
1130      	09:15:19  	429.5  	-11.8 	45    	4.1     	057   	-3.4      	-2.3      	7078      	-20.5
1132      	09:15:21  	428.7  	-11.9 	45    	4.2     	058   	-3.6      	-2.2      	7093      	-20.6
1134      	09:15:23  	427.9  	-12.0 	44    	4.2     	061   	-3.7      	-2.1      	7107      	-20.7
1136      	09:15:25  	427.1  	-12.1 	44    	4.2     	063   	-3.7      	-1.9      	7121      	-20.8
1138      	09:15:27  	426.4  	-12.2 	44    	4.2     	066   	-3.8      	-1.7      	7134      	-20.9
1140      	09:15:29  	425.6  	-12.3 	44    	4.1     	068   	-3.8      	-1.6      	7148      	-21.0
1142      	09:15:31  	424.9  	-12.3 	44    	4.0     	069   	-3.7      	-1.4      	7161      	-21.1
1144      	09:15:33  	424.1  	-12.4 	44    	3.8     	071   	-3.6      	-1.2      	7175      	-21.1
1146      	09:15:35  	423.4  	-12.5 	44    	3.6     	070   	-3.4      	-1.2      	7189      	-21.2
1148      	09:15:37  	422.5  	-12.6 	44    	3.4     	069   	-3.2      	-1.2      	7204      	-21.3
1150      	09:15:39  	421.7  	-12.7 	44    	3.1     	067   	-2.8      	-1.2      	7219      	-21.4
1152      	09:15:41  	420.9  	-12.8 	44    	3.0     	063   	-2.7      	-1.3      	7234      	-21.4
1154      	09:15:43  	420.0  	-12.9 	45    	2.9     	059   	-2.5      	-1.5      	7249      	-21.5
1156      	09:15:45  	419.2  	-13.0 	45    	2.9     	054   	-2.3      	-1.7      	7265      	-21.5
1158      	09:15:47  	418.4  	-13.0 	45    	2.9     	050   	-2.2      	-1.9      	7279      	-21.6
1160      	09:15:49  	417.6  	-13.1 	45    	3.1     	048   	-2.3      	-2.1      	7293      	-21.6
1162      	09:15:51  	416.8  	-13.2 	45    	3.2     	045   	-2.3      	-2.3      	7307      	-21.7
1164      	09:15:53  	416.1  	-13.3 	45    	3.3     	043   	-2.2      	-2.4      	7321      	-21.7
1166      	09:15:55  	415.3  	-13.3 	45    	3.5     	043   	-2.4      	-2.6      	7335      	-21.7
1168      	09:15:57  	414.6  	-13.4 	46    	3.7     	046   	-2.6      	-2.6      	7349      	-21.7
1170      	09:15:59  	413.8  	-13.4 	46    	3.8     	047   	-2.8      	-2.6      	7362      	-21.7
1172      	09:16:01  	413.1  	-13.5 	46    	3.9     	048   	-2.9      	-2.6      	7375      	-21.8
1174      	09:16:03  	412.4  	-13.5 	46    	4.1     	050   	-3.1      	-2.7      	7388      	-21.8
1176      	09:16:05  	411.7  	-13.6 	46    	4.2     	051   	-3.3      	-2.6      	7402      	-21.8
1178      	09:16:07  	410.9  	-13.6 	46    	4.1     	052   	-3.2      	-2.5      	7417      	-21.9
1180      	09:16:09  	410.1  	-13.7 	46    	4.1     	051   	-3.2      	-2.6      	7431      	-21.9
1182      	09:16:11  	409.3  	-13.7 	46    	4.0     	051   	-3.1      	-2.5      	7446      	-22.0
1184      	09:16:13  	408.5  	-13.8 	46    	3.9     	053   	-3.1      	-2.3      	7461      	-22.0
1186      	09:16:15  	407.7  	-13.9 	46    	3.8     	056   	-3.2      	-2.1      	7476      	-22.1
1188      	09:16:17  	406.9  	-14.0 	46    	3.6     	060   	-3.1      	-1.8      	7490      	-22.2
1190      	09:16:19  	406.2  	-14.1 	46    	3.5     	063   	-3.1      	-1.6      	7504      	-22.3
1192      	09:16:21  	405.4  	-14.1 	46    	3.4     	068   	-3.1      	-1.3      	7519      	-22.4
1194      	09:16:23  	404.6  	-14.2 	46    	3.4     	072   	-3.2      	-1.0      	7533      	-22.5
1196      	09:16:25  	403.8  	-14.3 	46    	3.3     	077   	-3.2      	-0.8      	7548      	-22.5
1198      	09:16:27  	403.0  	-14.4 	46    	3.5     	077   	-3.4      	-0.8      	7563      	-22.6
1200      	09:16:29  	402.2  	-14.5 	46    	3.8     	078   	-3.7      	-0.8      	7579      	-22.6
1202      	09:16:31  	401.5  	-14.6 	46    	4.0     	078   	-3.9      	-0.8      	7594      	-22.6
1204      	09:16:33  	400.7  	-14.6 	47    	4.3     	078   	-4.2      	-0.9      	7607      	-22.7
1206      	09:16:35  	400.0  	-14.7 	47    	4.5     	075   	-4.3      	-1.2      	7620      	-22.7
1208      	09:16:37  	399.3  	-14.8 	47    	4.8     	072   	-4.6      	-1.5      	7634      	-22.8
1210      	09:16:39  	398.6  	-14.9 	47    	4.9     	070   	-4.6      	-1.6      	7647      	-22.9
1212      	09:16:41  	397.9  	-15.0 	47    	4.8     	070   	-4.5      	-1.6      	7661      	-23.0
1214      	09:16:43  	397.1  	-15.1 	47    	4.7     	069   	-4.4      	-1.7      	7675      	-23.1
1216      	09:16:45  	396.4  	-15.2 	47    	4.6     	068   	-4.3      	-1.7      	7689      	-23.2
1218      	09:16:47  	395.6  	-15.3 	47    	4.2     	069   	-3.9      	-1.5      	7703      	-23.3
1220      	09:16:49  	394.9  	-15.4 	47    	3.9     	071   	-3.7      	-1.3      	7718      	-23.4
1222      	09:16:51  	394.2  	-15.6 	47    	3.5     	074   	-3.4      	-1.0      	7732      	-23.5
1224      	09:16:53  	393.4  	-15.7 	47    	3.1     	077   	-3.0      	-0.7      	7745      	-23.6
1226      	09:16:55  	392.7  	-15.8 	47    	2.6     	082   	-2.6      	-0.4      	7760      	-23.7
1228      	09:16:57  	391.9  	-15.9 	47    	2.3     	089   	-2.3      	-0.1      	7774      	-23.8
1230      	09:16:59  	391.2  	-16.0 	47    	2.1     	094   	-2.1      	0.2       	7788      	-23.9
1232      	09:17:01  	390.4  	-16.1 	47    	2.1     	096   	-2.1      	0.2       	7802      	-24.0
1234      	09:17:03  	389.7  	-16.2 	47    	2.0     	097   	-2.0      	0.3       	7817      	-24.0
1236      	09:17:05  	388.9  	-16.3 	47    	2.0     	099   	-2.0      	0.3       	7832      	-24.1
1238      	09:17:07  	388.1  	-16.4 	47    	2.0     	097   	-2.0      	0.3       	7847      	-24.2
1240      	09:17:09  	387.4  	-16.5 	47    	2.0     	097   	-2.0      	0.3       	7862      	-24.2
1242      	09:17:11  	386.6  	-16.6 	48    	2.0     	096   	-2.0      	0.2       	7877      	-24.3
1244      	09:17:13  	385.8  	-16.7 	48    	2.1     	093   	-2.1      	0.1       	7892      	-24.3
1246      	09:17:15  	385.0  	-16.8 	48    	2.1     	090   	-2.1      	0.0       	7908      	-24.4
1248      	09:17:17  	384.3  	-16.9 	48    	2.1     	089   	-2.1      	-0.1      	7923      	-24.4
1250      	09:17:19  	383.5  	-17.0 	48    	2.0     	083   	-2.0      	-0.3      	7938      	-24.5
1252      	09:17:21  	382.7  	-17.1 	48    	1.9     	076   	-1.8      	-0.5      	7953      	-24.6
1254      	09:17:23  	381.9  	-17.1 	49    	1.9     	068   	-1.8      	-0.7      	7968      	-24.6
1256      	09:17:25  	381.1  	-17.2 	49    	1.8     	061   	-1.6      	-0.9      	7984      	-24.7
1258      	09:17:27  	380.3  	-17.3 	49    	1.8     	055   	-1.5      	-1.0      	8000      	-24.7
1260      	09:17:29  	379.5  	-17.4 	49    	1.7     	049   	-1.3      	-1.1      	8015      	-24.8
1262      	09:17:31  	378.8  	-17.5 	49    	1.6     	041   	-1.1      	-1.2      	8029      	-24.9
1264      	09:17:33  	378.1  	-17.5 	49    	1.4     	028   	-0.7      	-1.2      	8044      	-24.9
1266      	09:17:35  	377.4  	-17.6 	49    	1.3     	014   	-0.3      	-1.3      	8058      	-24.9
1268      	09:17:37  	376.7  	-17.7 	50    	1.3     	355   	0.1       	-1.3      	8072      	-24.9
1270      	09:17:39  	376.0  	-17.8 	50    	1.2     	343   	0.3       	-1.1      	8085      	-25.0
1272      	09:17:41  	375.3  	-17.9 	50    	1.2     	331   	0.6       	-1.1      	8100      	-25.0
1274      	09:17:43  	374.5  	-18.0 	50    	1.2     	318   	0.8       	-0.9      	8115      	-25.1
1276      	09:17:45  	373.8  	-18.0 	50    	1.4     	304   	1.2       	-0.8      	8129      	-25.2
1278      	09:17:47  	373.1  	-18.1 	50    	1.6     	293   	1.5       	-0.6      	8144      	-25.2
1280      	09:17:49  	372.3  	-18.2 	50    	1.8     	283   	1.8       	-0.4      	8159      	-25.4
1282      	09:17:51  	371.6  	-18.3 	50    	2.1     	277   	2.1       	-0.3      	8173      	-25.5
1284      	09:17:53  	370.8  	-18.4 	50    	2.2     	275   	2.2       	-0.2      	8189      	-25.6
1286      	09:17:55  	370.1  	-18.6 	50    	2.3     	274   	2.3       	-0.2      	8204      	-25.7
1288      	09:17:57  	369.4  	-18.7 	50    	2.4     	275   	2.4       	-0.2      	8219      	-25.7
1290      	09:17:59  	368.7  	-18.8 	50    	2.5     	277   	2.5       	-0.3      	8233      	-25.8
1292      	09:18:01  	368.0  	-18.9 	51    	2.6     	279   	2.6       	-0.4      	8246      	-25.9
1294      	09:18:03  	367.3  	-19.0 	51    	2.7     	280   	2.7       	-0.5      	8259      	-26.0
1296      	09:18:05  	366.6  	-19.1 	51    	2.6     	284   	2.5       	-0.6      	8274      	-26.1
1298      	09:18:07  	365.9  	-19.2 	51    	2.7     	287   	2.6       	-0.8      	8289      	-26.2
1300      	09:18:09  	365.1  	-19.4 	51    	2.6     	290   	2.5       	-0.9      	8305      	-26.3
1302      	09:18:11  	364.4  	-19.5 	50    	2.5     	294   	2.3       	-1.0      	8320      	-26.5
1304      	09:18:13  	363.6  	-19.6 	50    	2.5     	299   	2.2       	-1.2      	8335      	-26.6
1306      	09:18:15  	362.9  	-19.7 	51    	2.4     	303   	2.0       	-1.3      	8350      	-26.6
1308      	09:18:17  	362.2  	-19.9 	50    	2.3     	305   	1.9       	-1.3      	8365      	-26.8
1310      	09:18:19  	361.5  	-20.0 	51    	2.2     	307   	1.8       	-1.3      	8379      	-26.9
1312      	09:18:21  	360.8  	-20.1 	51    	2.1     	309   	1.6       	-1.3      	8394      	-27.0
1314      	09:18:23  	360.1  	-20.2 	51    	2.1     	307   	1.7       	-1.3      	8408      	-27.1
1316      	09:18:25  	359.4  	-20.3 	51    	2.0     	306   	1.6       	-1.2      	8423      	-27.1
1318      	09:18:27  	358.7  	-20.4 	51    	2.0     	303   	1.7       	-1.1      	8437      	-27.2
1320      	09:18:29  	358.0  	-20.4 	51    	2.0     	300   	1.7       	-1.0      	8450      	-27.3
1322      	09:18:31  	357.4  	-20.5 	51    	2.0     	296   	1.8       	-0.9      	8464      	-27.4
1324      	09:18:33  	356.8  	-20.6 	51    	2.1     	292   	1.9       	-0.8      	8477      	-27.5
1326      	09:18:35  	356.1  	-20.7 	50    	2.1     	290   	2.0       	-0.7      	8489      	-27.6
1328      	09:18:37  	355.5  	-20.8 	51    	2.0     	291   	1.9       	-0.7      	8503      	-27.6
1330      	09:18:39  	354.8  	-20.8 	51    	2.0     	291   	1.9       	-0.7      	8517      	-27.7
1332      	09:18:41  	354.1  	-20.9 	51    	1.9     	291   	1.8       	-0.7      	8532      	-27.7
1334      	09:18:43  	353.4  	-21.0 	51    	1.7     	294   	1.5       	-0.7      	8546      	-27.7
1336      	09:18:45  	352.8  	-21.1 	52    	1.6     	301   	1.4       	-0.8      	8559      	-27.7
1338      	09:18:47  	352.1  	-21.2 	52    	1.5     	305   	1.2       	-0.9      	8573      	-27.8
1340      	09:18:49  	351.4  	-21.3 	52    	1.6     	314   	1.2       	-1.1      	8587      	-27.8
1342      	09:18:51  	350.7  	-21.3 	52    	1.6     	323   	1.0       	-1.3      	8602      	-27.9
1344      	09:18:53  	350.0  	-21.4 	52    	1.7     	330   	0.9       	-1.5      	8617      	-28.0
1346      	09:18:55  	349.3  	-21.5 	52    	1.8     	333   	0.8       	-1.6      	8632      	-28.1
1348      	09:18:57  	348.6  	-21.6 	52    	2.0     	333   	0.9       	-1.8      	8646      	-28.2
1350      	09:18:59  	347.9  	-21.7 	52    	2.1     	333   	1.0       	-1.9      	8661      	-28.3
1352      	09:19:01  	347.3  	-21.8 	52    	2.3     	331   	1.1       	-2.0      	8675      	-28.5
1354      	09:19:03  	346.6  	-21.9 	51    	2.5     	327   	1.4       	-2.1      	8689      	-28.6
1356      	09:19:05  	346.0  	-22.0 	51    	2.7     	324   	1.6       	-2.2      	8703      	-28.6
1358      	09:19:07  	345.3  	-22.1 	51    	3.0     	321   	1.9       	-2.3      	8717      	-28.7
1360      	09:19:09  	344.7  	-22.2 	51    	3.1     	320   	2.0       	-2.4      	8731      	-28.8
1362      	09:19:11  	344.0  	-22.2 	51    	3.2     	317   	2.2       	-2.3      	8744      	-28.9
1364      	09:19:13  	343.4  	-22.3 	51    	3.3     	315   	2.3       	-2.3      	8758      	-28.9
1366      	09:19:15  	342.8  	-22.4 	52    	3.5     	312   	2.6       	-2.3      	8771      	-29.0
1368      	09:19:17  	342.1  	-22.5 	52    	3.7     	308   	2.9       	-2.3      	8785      	-29.1
1370      	09:19:19  	341.5  	-22.6 	52    	3.9     	306   	3.2       	-2.3      	8799      	-29.1
1372      	09:19:21  	340.8  	-22.7 	52    	4.0     	305   	3.3       	-2.3      	8813      	-29.1
1374      	09:19:23  	340.2  	-22.7 	52    	4.0     	304   	3.3       	-2.2      	8826      	-29.2
1376      	09:19:25  	339.6  	-22.8 	52    	4.1     	302   	3.5       	-2.2      	8840      	-29.3
1378      	09:19:27  	338.9  	-22.9 	52    	4.0     	303   	3.4       	-2.1      	8854      	-29.3
1380      	09:19:29  	338.3  	-23.0 	53    	3.7     	302   	3.1       	-2.0      	8868      	-29.4
1382      	09:19:31  	337.7  	-23.0 	53    	3.3     	302   	2.8       	-1.8      	8881      	-29.4
1384      	09:19:33  	337.2  	-23.1 	53    	2.9     	302   	2.5       	-1.5      	8893      	-29.4
1386      	09:19:35  	336.6  	-23.2 	53    	2.5     	303   	2.1       	-1.4      	8904      	-29.4
1388      	09:19:37  	336.1  	-23.3 	54    	2.0     	307   	1.6       	-1.2      	8915      	-29.5
1390      	09:19:39  	335.6  	-23.4 	54    	1.5     	310   	1.2       	-1.0      	8925      	-29.5
1392      	09:19:41  	335.1  	-23.5 	54    	1.0     	313   	0.7       	-0.7      	8936      	-29.6
1394      	09:19:43  	334.6  	-23.5 	54    	0.4     	325   	0.2       	-0.3      	8947      	-29.6
1396      	09:19:45  	334.1  	-23.6 	54    	0.3     	090   	-0.3      	0.0       	8958      	-29.7
1398      	09:19:47  	333.6  	-23.7 	54    	0.6     	110   	-0.6      	0.2       	8970      	-29.8
1400      	09:19:49  	333.0  	-23.8 	54    	0.7     	123   	-0.6      	0.4       	8982      	-29.9
1402      	09:19:51  	332.4  	-23.9 	54    	0.8     	127   	-0.6      	0.5       	8996      	-30.0
1404      	09:19:53  	331.8  	-23.9 	54    	0.7     	129   	-0.5      	0.4       	9010      	-30.1
1406      	09:19:55  	331.2  	-24.0 	54    	0.1     	135   	-0.1      	0.1       	9022      	-30.1
1408      	09:19:57  	330.7  	-24.1 	54    	0.3     	309   	0.2       	-0.2      	9034      	-30.2
1410      	09:19:59  	330.2  	-24.2 	54    	0.8     	308   	0.6       	-0.5      	9045      	-30.3
1412      	09:20:01  	329.7  	-24.3 	54    	1.5     	309   	1.2       	-1.0      	9055      	-30.4
1414      	09:20:03  	329.2  	-24.4 	54    	2.1     	312   	1.6       	-1.4      	9066      	-30.4
1416      	09:20:05  	328.7  	-24.5 	54    	2.7     	312   	2.0       	-1.8      	9077      	-30.5
1418      	09:20:07  	328.3  	-24.6 	54    	3.3     	314   	2.4       	-2.3      	9087      	-30.6
1420      	09:20:09  	327.8  	-24.7 	54    	3.9     	315   	2.8       	-2.8      	9098      	-30.7
1422      	09:20:11  	327.3  	-24.8 	54    	4.4     	316   	3.1       	-3.2      	9108      	-30.8
1424      	09:20:13  	326.7  	-24.9 	54    	4.7     	317   	3.2       	-3.4      	9121      	-30.9
1426      	09:20:15  	326.2  	-25.0 	54    	4.7     	318   	3.1       	-3.5      	9134      	-31.1
1428      	09:20:17  	325.6  	-25.1 	53    	4.7     	319   	3.1       	-3.5      	9147      	-31.2
1430      	09:20:19  	324.9  	-25.2 	53    	4.5     	319   	2.9       	-3.4      	9162      	-31.4
1432      	09:20:21  	324.2  	-25.3 	53    	4.1     	319   	2.7       	-3.1      	9177      	-31.5
1434      	09:20:23  	323.6  	-25.4 	53    	3.7     	319   	2.4       	-2.8      	9192      	-31.6
1436      	09:20:25  	323.0  	-25.5 	53    	3.4     	319   	2.2       	-2.6      	9206      	-31.7
1438      	09:20:27  	322.3  	-25.6 	53    	3.0     	317   	2.0       	-2.2      	9220      	-31.8
1440      	09:20:29  	321.7  	-25.7 	53    	2.7     	315   	1.9       	-1.9      	9233      	-31.9
1442      	09:20:31  	321.2  	-25.8 	53    	2.4     	311   	1.8       	-1.6      	9245      	-32.0
1444      	09:20:33  	320.7  	-25.9 	53    	2.2     	303   	1.9       	-1.2      	9258      	-32.1
1446      	09:20:35  	320.1  	-26.0 	53    	2.1     	294   	1.9       	-0.9      	9269      	-32.1
1448      	09:20:37  	319.6  	-26.1 	53    	2.1     	284   	2.0       	-0.5      	9281      	-32.3
1450      	09:20:39  	319.0  	-26.2 	53    	2.2     	277   	2.2       	-0.3      	9293      	-32.4
1452      	09:20:41  	318.5  	-26.3 	53    	2.5     	275   	2.5       	-0.2      	9307      	-32.4
1454      	09:20:43  	317.9  	-26.4 	53    	2.7     	273   	2.7       	-0.2      	9321      	-32.5
1456      	09:20:45  	317.3  	-26.5 	53    	2.7     	269   	2.7       	0.1       	9334      	-32.7
1458      	09:20:47  	316.7  	-26.7 	53    	2.7     	265   	2.7       	0.3       	9347      	-32.8
1460      	09:20:49  	316.0  	-26.8 	53    	2.7     	259   	2.7       	0.5       	9361      	-32.9
1462      	09:20:51  	315.4  	-26.9 	53    	2.7     	255   	2.6       	0.7       	9375      	-33.0
1464      	09:20:53  	314.8  	-27.0 	53    	2.5     	248   	2.3       	0.9       	9392      	-33.1
1466      	09:20:55  	314.0  	-27.1 	53    	2.3     	241   	2.0       	1.1       	9409      	-33.2
1468      	09:20:57  	313.3  	-27.3 	53    	2.1     	235   	1.7       	1.2       	9425      	-33.4
1470      	09:20:59  	312.6  	-27.4 	53    	2.0     	227   	1.5       	1.4       	9440      	-33.5
1472      	09:21:01  	312.0  	-27.5 	53    	1.8     	219   	1.1       	1.4       	9456      	-33.6
1474      	09:21:03  	311.5  	-27.6 	53    	1.6     	208   	0.8       	1.4       	9469      	-33.6
1476      	09:21:05  	310.9  	-27.7 	53    	1.5     	208   	0.7       	1.3       	9481      	-33.8
1478      	09:21:07  	310.3  	-27.8 	53    	1.4     	208   	0.7       	1.2       	9494      	-33.9
1480      	09:21:09  	309.8  	-27.9 	53    	1.3     	209   	0.6       	1.1       	9506      	-34.0
1482      	09:21:11  	309.3  	-28.0 	52    	1.2     	213   	0.7       	1.0       	9518      	-34.2
1484      	09:21:13  	308.7  	-28.1 	52    	1.2     	216   	0.7       	1.0       	9530      	-34.3
1486      	09:21:15  	308.1  	-28.2 	52    	1.2     	220   	0.8       	0.9       	9544      	-34.4
1488      	09:21:17  	307.5  	-28.4 	52    	1.2     	225   	0.8       	0.8       	9558      	-34.6
1490      	09:21:19  	307.0  	-28.5 	52    	1.3     	227   	0.9       	0.9       	9572      	-34.7
1492      	09:21:21  	306.4  	-28.6 	52    	1.5     	229   	1.1       	1.0       	9586      	-34.8
1494      	09:21:23  	305.8  	-28.7 	52    	1.6     	231   	1.2       	1.0       	9600      	-34.9
1496      	09:21:25  	305.2  	-28.8 	52    	1.9     	234   	1.5       	1.1       	9614      	-35.0
1498      	09:21:27  	304.5  	-28.9 	52    	2.2     	236   	1.8       	1.2       	9628      	-35.2
1500      	09:21:29  	303.9  	-29.0 	51    	2.5     	237   	2.1       	1.4       	9643      	-35.3
1502      	09:21:31  	303.2  	-29.2 	52    	2.6     	239   	2.2       	1.3       	9658      	-35.4
1504      	09:21:33  	302.6  	-29.3 	52    	2.7     	239   	2.3       	1.4       	9675      	-35.5
1506      	09:21:35  	301.9  	-29.4 	52    	2.9     	240   	2.5       	1.5       	9691      	-35.5
1508      	09:21:37  	301.3  	-29.5 	52    	2.9     	241   	2.5       	1.4       	9705      	-35.7
1510      	09:21:39  	300.7  	-29.6 	52    	3.0     	241   	2.6       	1.4       	9719      	-35.8
1512      	09:21:41  	300.1  	-29.7 	52    	3.1     	242   	2.7       	1.4       	9733      	-35.8
1514      	09:21:43  	299.5  	-29.8 	52    	3.1     	242   	2.7       	1.4       	9747      	-35.9
1516      	09:21:45  	299.0  	-29.9 	52    	3.0     	243   	2.7       	1.4       	9761      	-36.0
1518      	09:21:47  	298.4  	-30.0 	52    	2.9     	243   	2.6       	1.3       	9774      	-36.1
1520      	09:21:49  	297.8  	-30.1 	52    	2.9     	242   	2.6       	1.4       	9787      	-36.2
1522      	09:21:51  	297.3  	-30.2 	52    	2.8     	239   	2.4       	1.4       	9800      	-36.2
1524      	09:21:53  	296.7  	-30.2 	53    	2.7     	236   	2.2       	1.5       	9813      	-36.2
1526      	09:21:55  	296.2  	-30.3 	53    	2.7     	232   	2.1       	1.7       	9827      	-36.3
1528      	09:21:57  	295.7  	-30.4 	53    	2.7     	228   	2.0       	1.8       	9840      	-36.3
1530      	09:21:59  	295.1  	-30.5 	53    	2.7     	225   	1.9       	1.9       	9852      	-36.4
1532      	09:22:01  	294.6  	-30.6 	53    	2.7     	221   	1.8       	2.0       	9863      	-36.5
1534      	09:22:03  	294.1  	-30.7 	53    	2.8     	218   	1.7       	2.2       	9875      	-36.7
1536      	09:22:05  	293.6  	-30.8 	53    	2.9     	215   	1.7       	2.4       	9890      	-36.8
1538      	09:22:07  	293.0  	-30.9 	53    	3.0     	212   	1.6       	2.6       	9905      	-36.9
1540      	09:22:09  	292.3  	-31.1 	52    	3.0     	210   	1.5       	2.6       	9920      	-37.1
1542      	09:22:11  	291.7  	-31.2 	52    	3.0     	211   	1.5       	2.6       	9934      	-37.2
1544      	09:22:13  	291.2  	-31.3 	52    	3.0     	211   	1.5       	2.6       	9949      	-37.3
1546      	09:22:15  	290.6  	-31.4 	53    	3.1     	210   	1.5       	2.7       	9963      	-37.3
1548      	09:22:17  	290.0  	-31.5 	52    	3.2     	210   	1.6       	2.8       	9976      	-37.5
1550      	09:22:19  	289.4  	-31.7 	52    	3.3     	210   	1.7       	2.9       	9990      	-37.7
1552      	09:22:21  	288.9  	-31.8 	52    	3.3     	211   	1.7       	2.8       	10004     	-37.8
1554      	09:22:23  	288.3  	-31.9 	52    	3.4     	210   	1.7       	2.9       	10018     	-37.9
1556      	09:22:25  	287.8  	-32.0 	52    	3.4     	210   	1.7       	3.0       	10032     	-38.1
1558      	09:22:27  	287.2  	-32.1 	52    	3.5     	210   	1.7       	3.0       	10045     	-38.2
1560      	09:22:29  	286.6  	-32.2 	51    	3.6     	211   	1.8       	3.1       	10059     	-38.3
1562      	09:22:31  	286.1  	-32.3 	51    	3.8     	212   	2.0       	3.2       	10072     	-38.4
1564      	09:22:33  	285.5  	-32.4 	51    	3.9     	214   	2.2       	3.2       	10087     	-38.5
1566      	09:22:35  	284.9  	-32.5 	52    	4.0     	215   	2.3       	3.3       	10102     	-38.6
1568      	09:22:37  	284.3  	-32.6 	52    	4.1     	216   	2.4       	3.3       	10117     	-38.7
1570      	09:22:39  	283.8  	-32.7 	52    	4.1     	217   	2.5       	3.3       	10130     	-38.7
1572      	09:22:41  	283.2  	-32.8 	52    	4.2     	220   	2.7       	3.2       	10144     	-38.8
1574      	09:22:43  	282.7  	-32.9 	52    	4.3     	223   	2.9       	3.2       	10157     	-38.9
1576      	09:22:45  	282.2  	-32.9 	52    	4.4     	225   	3.1       	3.1       	10169     	-38.9
1578      	09:22:47  	281.7  	-33.0 	52    	4.6     	228   	3.4       	3.1       	10181     	-38.9
1580      	09:22:49  	281.3  	-33.1 	53    	4.6     	229   	3.5       	3.0       	10192     	-39.0
1582      	09:22:51  	280.8  	-33.2 	53    	4.7     	230   	3.6       	3.0       	10204     	-39.0
1584      	09:22:53  	280.3  	-33.3 	53    	4.7     	232   	3.7       	2.9       	10216     	-39.1
1586      	09:22:55  	279.8  	-33.4 	53    	4.6     	237   	3.9       	2.5       	10228     	-39.1
1588      	09:22:57  	279.3  	-33.5 	54    	4.5     	243   	4.0       	2.0       	10240     	-39.2
1590      	09:22:59  	278.9  	-33.6 	53    	4.5     	249   	4.2       	1.6       	10252     	-39.3
1592      	09:23:01  	278.3  	-33.7 	53    	4.5     	255   	4.3       	1.2       	10266     	-39.4
1594      	09:23:03  	277.8  	-33.8 	53    	4.4     	259   	4.3       	0.8       	10280     	-39.5
1596      	09:23:05  	277.2  	-33.9 	53    	4.4     	265   	4.4       	0.4       	10294     	-39.6
1598      	09:23:07  	276.7  	-34.0 	53    	4.5     	271   	4.5       	-0.1      	10308     	-39.7
1600      	09:23:09  	276.1  	-34.1 	53    	4.7     	276   	4.7       	-0.5      	10321     	-39.8
1602      	09:23:11  	275.6  	-34.2 	53    	4.9     	282   	4.8       	-1.0      	10335     	-39.9
1604      	09:23:13  	275.1  	-34.3 	53    	5.1     	286   	4.9       	-1.4      	10347     	-40.0
1606      	09:23:15  	274.7  	-34.5 	54    	5.2     	287   	5.0       	-1.5      	10359     	-40.1
1608      	09:23:17  	274.2  	-34.6 	54    	5.3     	288   	5.1       	-1.6      	10371     	-40.2
1610      	09:23:19  	273.6  	-34.7 	53    	5.2     	287   	5.0       	-1.5      	10385     	-40.4
1612      	09:23:21  	273.0  	-34.9 	53    	5.0     	284   	4.8       	-1.2      	10400     	-40.5
1614      	09:23:23  	272.5  	-35.0 	53    	4.8     	282   	4.7       	-1.0      	10415     	-40.7
1616      	09:23:25  	271.9  	-35.1 	53    	4.7     	280   	4.6       	-0.8      	10430     	-40.8
1618      	09:23:27  	271.3  	-35.2 	53    	4.4     	276   	4.4       	-0.5      	10444     	-41.0
1620      	09:23:29  	270.7  	-35.3 	52    	4.3     	271   	4.3       	-0.1      	10460     	-41.2
1622      	09:23:31  	270.1  	-35.5 	52    	4.0     	266   	4.0       	0.3       	10476     	-41.3
1624      	09:23:33  	269.5  	-35.6 	52    	3.8     	261   	3.7       	0.6       	10491     	-41.4
1626      	09:23:35  	268.9  	-35.7 	53    	3.5     	255   	3.4       	0.9       	10506     	-41.5
1628      	09:23:37  	268.3  	-35.9 	52    	3.3     	247   	3.0       	1.3       	10521     	-41.6
1630      	09:23:39  	267.7  	-36.0 	52    	3.3     	244   	3.0       	1.5       	10536     	-41.7
