Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	 1007.0       	  32.6	  63	    32    	  24.6  	 258.1	   ///./	  258.1	 350.7  	 1147.6 	 31.0    	   36.3    	  36.2    	 19.39       	 32190.3      	   0.0   	 360    	 ////./       	 ////./       	 ////./        	   76.33205	  10.04228	    32.1
00001.0  	 1005.7       	  32.4	  63	    51    	  24.4  	 258.0	   ///./	  260.9	 350.6  	 1147.0 	 30.6    	   36.2    	  35.9    	 19.18       	 32191.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33212	  10.04225	    50.8
00002.0  	 1004.3       	  32.1	  63	    69    	  24.2  	 257.8	   ///./	  263.7	 350.4  	 1146.4 	 30.3    	   36.0    	  35.6    	 18.96       	 32192.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33218	  10.04222	    69.5
00003.0  	 1003.0       	  31.9	  63	    80    	  24.0  	 257.7	   ///./	  265.2	 350.3  	 1145.8 	 29.9    	   35.9    	  35.3    	 18.75       	 32193.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33225	  10.04219	    79.9
00004.0  	 1001.6       	  31.6	  63	    88    	  23.8  	 257.6	   ///./	  266.4	 350.2  	 1145.2 	 29.5    	   35.8    	  35.0    	 18.55       	 32194.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33231	  10.04216	    88.2
00005.0  	 1000.3       	  31.4	  64	    96    	  23.6  	 257.5	   ///./	  267.6	 350.0  	 1144.6 	 29.2    	   35.6    	  34.7    	 18.34       	 32195.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33238	  10.04214	    96.6
00006.0  	  998.9       	  31.1	  64	   105    	  23.4  	 257.3	   ///./	  268.8	 349.9  	 1144.0 	 28.8    	   35.5    	  34.4    	 18.13       	 32196.3      	   4.6   	 313    	 ////./       	 ////./       	 ////./        	   76.33244	  10.04211	   104.9
00007.0  	  998.0       	  31.0	  64	   113    	  23.3  	 257.2	   ///./	  270.0	 349.8  	 1143.5 	 28.6    	   35.4    	  34.3    	 18.05       	 32197.3      	   4.5   	 313    	 ////./       	 ////./       	 ////./        	   76.33251	  10.04208	   113.3
00008.0  	  997.1       	  30.9	  64	   121    	  23.3  	 257.1	   ///./	  271.1	 349.8  	 1142.7 	 28.7    	   35.4    	  34.2    	 18.07       	 32198.3      	   4.4   	 313    	 ////./       	 ////./       	 ////./        	   76.33257	  10.04205	   121.5
00009.0  	  996.2       	  30.8	  64	   129    	  23.3  	 256.9	   ///./	  272.2	 349.7  	 1141.9 	 28.7    	   35.5    	  34.1    	 18.10       	 32199.3      	   4.3   	 313    	 ////./       	 ////./       	 ////./        	   76.33264	  10.04202	   129.6
00010.0  	  995.3       	  30.8	  65	   137    	  23.3  	 256.7	   ///./	  273.3	 349.7  	 1141.1 	 28.7    	   35.5    	  34.1    	 18.12       	 32200.3      	   4.3   	 313    	 ////./       	 ////./       	 ////./        	   76.33270	  10.04199	   137.7
00011.0  	  994.4       	  30.7	  65	   145    	  23.3  	 256.6	   ///./	  274.4	 349.6  	 1140.3 	 28.7    	   35.5    	  34.0    	 18.15       	 32201.3      	   4.2   	 313    	 ////./       	 ////./       	 ////./        	   76.33277	  10.04196	   145.8
00012.0  	  993.5       	  30.7	  65	   153    	  23.3  	 256.4	   ///./	  275.5	 349.6  	 1139.5 	 28.7    	   35.5    	  34.0    	 18.17       	 32202.3      	   4.1   	 313    	 ////./       	 ////./       	 ////./        	   76.33283	  10.04193	   153.9
00013.0  	  992.8       	  30.6	  65	   162    	  23.3  	 256.3	   ///./	  276.7	 349.6  	 1138.8 	 28.7    	   35.5    	  33.9    	 18.19       	 32203.3      	   4.1   	 314    	 ////./       	 ////./       	 ////./        	   76.33290	  10.04191	   161.9
00014.0  	  992.0       	  30.5	  66	   168    	  23.3  	 256.1	   ///./	  277.6	 349.5  	 1138.2 	 28.7    	   35.5    	  33.9    	 18.21       	 32204.3      	   4.0   	 314    	 ////./       	 ////./       	 ////./        	   76.33297	  10.04188	   168.9
00015.0  	  991.2       	  30.5	  66	   175    	  23.3  	 256.0	   ///./	  278.5	 349.5  	 1137.5 	 28.7    	   35.5    	  33.8    	 18.23       	 32205.3      	   3.9   	 314    	 ////./       	 ////./       	 ////./        	   76.33302	  10.04185	   175.6
00016.0  	  990.5       	  30.4	  66	   182    	  23.4  	 255.9	   ///./	  279.5	 349.5  	 1136.9 	 28.7    	   35.5    	  33.7    	 18.25       	 32206.3      	   3.9   	 313    	 ////./       	 ////./       	 ////./        	   76.33304	  10.04184	   182.2
00017.0  	  989.7       	  30.3	  66	   188    	  23.4  	 255.7	   ///./	  280.4	 349.4  	 1136.2 	 28.8    	   35.5    	  33.7    	 18.27       	 32207.3      	   3.8   	 313    	 ////./       	 ////./       	 ////./        	   76.33307	  10.04183	   188.9
00018.0  	  988.9       	  30.3	  67	   195    	  23.4  	 255.6	   ///./	  281.3	 349.4  	 1135.6 	 28.8    	   35.5    	  33.6    	 18.29       	 32208.3      	   3.7   	 312    	 ////./       	 ////./       	 ////./        	   76.33309	  10.04182	   195.6
00019.0  	  988.3       	  30.2	  67	   202    	  23.4  	 255.5	   ///./	  282.2	 349.4  	 1135.0 	 28.8    	   35.5    	  33.6    	 18.31       	 32209.3      	   3.7   	 312    	 ////./       	 ////./       	 ////./        	   76.33311	  10.04180	   202.1
00020.0  	  987.6       	  30.2	  67	   208    	  23.4  	 255.4	   ///./	  283.0	 349.3  	 1134.5 	 28.8    	   35.5    	  33.5    	 18.32       	 32210.3      	   3.6   	 311    	 ////./       	 ////./       	 ////./        	   76.33314	  10.04179	   208.2
00021.0  	  986.9       	  30.1	  67	   214    	  23.3  	 255.3	   ///./	  283.9	 349.3  	 1133.9 	 28.7    	   35.5    	  33.4    	 18.31       	 32211.3      	   3.5   	 311    	 ////./       	 ////./       	 ////./        	   76.33316	  10.04178	   214.3
00022.0  	  986.2       	  30.1	  67	   220    	  23.3  	 255.1	   ///./	  284.7	 349.3  	 1133.3 	 28.7    	   35.5    	  33.4    	 18.30       	 32212.3      	   3.5   	 310    	 ////./       	 ////./       	 ////./        	   76.33319	  10.04177	   220.5
00023.0  	  985.5       	  30.0	  67	   226    	  23.3  	 255.0	   ///./	  285.6	 349.2  	 1132.8 	 28.7    	   35.5    	  33.3    	 18.29       	 32213.3      	   3.4   	 310    	 ////./       	 ////./       	 ////./        	   76.33321	  10.04176	   226.6
00024.0  	  984.9       	  29.9	  68	   232    	  23.3  	 254.9	   ///./	  286.4	 349.2  	 1132.2 	 28.6    	   35.5    	  33.3    	 18.28       	 32214.3      	   3.3   	 309    	 ////./       	 ////./       	 ////./        	   76.33323	  10.04174	   232.7
00025.0  	  984.3       	  29.9	  68	   238    	  23.3  	 254.8	   ///./	  287.2	 349.2  	 1131.7 	 28.6    	   35.5    	  33.2    	 18.27       	 32215.3      	   3.3   	 308    	 ////./       	 ////./       	 ////./        	   76.33326	  10.04173	   238.3
00026.0  	  983.6       	  29.8	  68	   243    	  23.2  	 254.7	   ///./	  288.0	 349.1  	 1131.2 	 28.6    	   35.5    	  33.1    	 18.26       	 32216.3      	   3.2   	 308    	 ////./       	 ////./       	 ////./        	   76.33328	  10.04172	   243.9
00027.0  	  983.0       	  29.8	  68	   249    	  23.2  	 254.6	   ///./	  288.7	 349.1  	 1130.8 	 28.5    	   35.5    	  33.1    	 18.25       	 32217.3      	   3.1   	 307    	 ////./       	 ////./       	 ////./        	   76.33331	  10.04171	   249.4
00028.0  	  982.4       	  29.7	  68	   254    	  23.2  	 254.5	   ///./	  289.5	 349.1  	 1130.3 	 28.5    	   35.5    	  33.0    	 18.24       	 32218.3      	   3.1   	 306    	 ////./       	 ////./       	 ////./        	   76.33333	  10.04169	   255.0
00029.0  	  981.8       	  29.6	  68	   260    	  23.2  	 254.4	   ///./	  290.3	 349.0  	 1129.8 	 28.5    	   35.5    	  33.0    	 18.23       	 32219.3      	   3.1   	 305    	 ////./       	 ////./       	 ////./        	   76.33335	  10.04168	   260.5
00030.0  	  981.2       	  29.6	  68	   265    	  23.2  	 254.3	   ///./	  291.1	 349.0  	 1129.3 	 28.4    	   35.5    	  32.9    	 18.22       	 32220.3      	   3.0   	 304    	 ////./       	 ////./       	 ////./        	   76.33338	  10.04167	   266.1
00031.0  	  980.6       	  29.5	  69	   271    	  23.1  	 254.2	   ///./	  291.9	 349.0  	 1128.8 	 28.4    	   35.5    	  32.8    	 18.21       	 32221.3      	   3.0   	 303    	 ////./       	 ////./       	 ////./        	   76.33340	  10.04166	   271.9
00032.0  	  979.9       	  29.5	  69	   277    	  23.1  	 254.1	   ///./	  292.7	 348.9  	 1128.3 	 28.4    	   35.5    	  32.8    	 18.20       	 32222.3      	   3.1   	 301    	 ////./       	 ////./       	 ////./        	   76.33343	  10.04165	   277.7
00033.0  	  979.3       	  29.4	  69	   283    	  23.1  	 254.0	   ///./	  293.5	 348.9  	 1127.7 	 28.3    	   35.5    	  32.7    	 18.19       	 32223.3      	   3.1   	 300    	 ////./       	 ////./       	 ////./        	   76.33345	  10.04163	   283.6
00034.0  	  978.7       	  29.4	  69	   289    	  23.1  	 253.9	   ///./	  294.3	 348.9  	 1127.2 	 28.3    	   35.5    	  32.7    	 18.17       	 32224.3      	   3.1   	 299    	 ////./       	 ////./       	 ////./        	   76.33347	  10.04162	   289.4
00035.0  	  978.0       	  29.3	  69	   294    	  23.0  	 253.7	   ///./	  295.1	 348.8  	 1126.7 	 28.2    	   35.5    	  32.6    	 18.15       	 32225.3      	   3.1   	 298    	 ////./       	 ////./       	 ////./        	   76.33350	  10.04161	   295.2
00036.0  	  977.4       	  29.3	  69	   300    	  23.0  	 253.6	   ///./	  295.8	 348.8  	 1126.1 	 28.2    	   35.5    	  32.6    	 18.13       	 32226.3      	   3.1   	 297    	 ////./       	 ////./       	 ////./        	   76.33352	  10.04160	   301.0
00037.0  	  976.8       	  29.2	  69	   305    	  23.0  	 253.5	   ///./	  296.5	 348.8  	 1125.6 	 28.1    	   35.5    	  32.5    	 18.10       	 32227.3      	   3.1   	 295    	 ////./       	 ////./       	 ////./        	   76.33355	  10.04158	   306.0
00038.0  	  976.3       	  29.2	  69	   310    	  23.0  	 253.4	   ///./	  297.2	 348.8  	 1125.2 	 28.1    	   35.5    	  32.5    	 18.08       	 32228.3      	   3.1   	 294    	 ////./       	 ////./       	 ////./        	   76.33357	  10.04157	   311.1
00039.0  	  975.7       	  29.1	  69	   315    	  22.9  	 253.3	   ///./	  297.9	 348.7  	 1124.7 	 28.0    	   35.5    	  32.4    	 18.06       	 32229.3      	   3.1   	 293    	 ////./       	 ////./       	 ////./        	   76.33359	  10.04156	   316.2
00040.0  	  975.1       	  29.1	  69	   320    	  22.9  	 253.2	   ///./	  298.6	 348.7  	 1124.2 	 28.0    	   35.6    	  32.4    	 18.04       	 32230.3      	   3.1   	 292    	 ////./       	 ////./       	 ////./        	   76.33362	  10.04155	   321.2
00041.0  	  974.6       	  29.0	  69	   325    	  22.9  	 253.1	   ///./	  299.3	 348.7  	 1123.7 	 27.9    	   35.6    	  32.3    	 18.01       	 32231.3      	   3.1   	 291    	 ////./       	 ////./       	 ////./        	   76.33364	  10.04154	   326.3
00042.0  	  974.0       	  29.0	  70	   331    	  22.8  	 253.0	   ///./	  300.1	 348.6  	 1123.3 	 27.9    	   35.6    	  32.2    	 17.99       	 32232.3      	   3.1   	 289    	 ////./       	 ////./       	 ////./        	   76.33367	  10.04152	   332.2
00043.0  	  973.3       	  28.9	  70	   337    	  22.8  	 252.9	   ///./	  301.0	 348.6  	 1122.7 	 27.8    	   35.6    	  32.2    	 17.97       	 32233.3      	   3.1   	 288    	 ////./       	 ////./       	 ////./        	   76.33369	  10.04151	   338.3
00044.0  	  972.7       	  28.9	  70	   344    	  22.8  	 252.8	   ///./	  301.8	 348.6  	 1122.1 	 27.8    	   35.6    	  32.1    	 17.95       	 32234.3      	   3.1   	 287    	 ////./       	 ////./       	 ////./        	   76.33371	  10.04150	   344.4
00045.0  	  972.0       	  28.8	  70	   350    	  22.7  	 252.6	   ///./	  302.6	 348.6  	 1121.5 	 27.7    	   35.6    	  32.1    	 17.93       	 32235.3      	   3.2   	 286    	 ////./       	 ////./       	 ////./        	   76.33374	  10.04149	   350.5
00046.0  	  971.4       	  28.8	  70	   356    	  22.7  	 252.5	   ///./	  303.5	 348.5  	 1120.9 	 27.7    	   35.6    	  32.0    	 17.91       	 32236.3      	   3.1   	 286    	 ////./       	 ////./       	 ////./        	   76.33376	  10.04148	   356.6
00047.0  	  970.7       	  28.7	  70	   362    	  22.7  	 252.4	   ///./	  304.3	 348.5  	 1120.4 	 27.6    	   35.6    	  32.0    	 17.89       	 32237.3      	   3.0   	 285    	 ////./       	 ////./       	 ////./        	   76.33378	  10.04148	   362.6
00048.0  	  970.0       	  28.7	  70	   368    	  22.7  	 252.2	   ///./	  305.1	 348.5  	 1119.8 	 27.6    	   35.6    	  31.9    	 17.86       	 32238.3      	   3.0   	 285    	 ////./       	 ////./       	 ////./        	   76.33380	  10.04148	   368.7
00049.0  	  969.4       	  28.6	  70	   374    	  22.6  	 252.1	   ///./	  305.9	 348.4  	 1119.2 	 27.5    	   35.6    	  31.9    	 17.83       	 32239.3      	   2.9   	 285    	 ////./       	 ////./       	 ////./        	   76.33382	  10.04148	   374.7
00050.0  	  968.8       	  28.6	  70	   380    	  22.6  	 252.0	   ///./	  306.8	 348.4  	 1118.7 	 27.4    	   35.6    	  31.8    	 17.81       	 32240.3      	   2.8   	 284    	 ////./       	 ////./       	 ////./        	   76.33384	  10.04148	   380.7
00051.0  	  968.2       	  28.6	  70	   386    	  22.5  	 251.9	   ///./	  307.6	 348.4  	 1118.1 	 27.4    	   35.6    	  31.8    	 17.78       	 32241.3      	   2.8   	 284    	 ////./       	 ////./       	 ////./        	   76.33386	  10.04148	   386.8
00052.0  	  967.5       	  28.5	  70	   392    	  22.5  	 251.8	   ///./	  308.4	 348.4  	 1117.6 	 27.3    	   35.7    	  31.7    	 17.75       	 32242.3      	   2.7   	 283    	 ////./       	 ////./       	 ////./        	   76.33388	  10.04147	   392.8
00053.0  	  966.9       	  28.5	  70	   397    	  22.5  	 251.6	   ///./	  309.1	 348.3  	 1117.0 	 27.3    	   35.7    	  31.7    	 17.73       	 32243.3      	   2.6   	 283    	 ////./       	 ////./       	 ////./        	   76.33390	  10.04147	   398.2
00054.0  	  966.3       	  28.4	  70	   402    	  22.4  	 251.5	   ///./	  309.9	 348.3  	 1116.5 	 27.2    	   35.7    	  31.6    	 17.70       	 32244.3      	   2.6   	 282    	 ////./       	 ////./       	 ////./        	   76.33392	  10.04147	   403.5
00055.0  	  965.7       	  28.4	  70	   408    	  22.4  	 251.4	   ///./	  310.6	 348.3  	 1116.0 	 27.1    	   35.7    	  31.6    	 17.67       	 32245.3      	   2.5   	 282    	 ////./       	 ////./       	 ////./        	   76.33395	  10.04147	   408.7
00056.0  	  965.1       	  28.3	  70	   413    	  22.4  	 251.3	   ///./	  311.3	 348.3  	 1115.5 	 27.1    	   35.7    	  31.5    	 17.65       	 32246.3      	   2.5   	 281    	 ////./       	 ////./       	 ////./        	   76.33397	  10.04147	   414.0
00057.0  	  964.5       	  28.3	  70	   418    	  22.3  	 251.2	   ///./	  312.0	 348.2  	 1115.0 	 27.0    	   35.7    	  31.5    	 17.62       	 32247.3      	   2.4   	 281    	 ////./       	 ////./       	 ////./        	   76.33399	  10.04147	   419.3
00058.0  	  963.9       	  28.2	  70	   424    	  22.3  	 251.1	   ///./	  312.8	 348.2  	 1114.5 	 27.0    	   35.7    	  31.4    	 17.59       	 32248.3      	   2.3   	 280    	 ////./       	 ////./       	 ////./        	   76.33401	  10.04147	   424.8
00059.0  	  963.4       	  28.2	  70	   429    	  22.3  	 251.0	   ///./	  313.5	 348.2  	 1114.0 	 26.9    	   35.7    	  31.4    	 17.57       	 32249.3      	   2.3   	 279    	 ////./       	 ////./       	 ////./        	   76.33403	  10.04146	   430.4
00060.0  	  962.8       	  28.1	  70	   435    	  22.2  	 250.9	   ///./	  314.3	 348.2  	 1113.5 	 26.9    	   35.7    	  31.3    	 17.54       	 32250.3      	   2.2   	 279    	 ////./       	 ////./       	 ////./        	   76.33405	  10.04146	   436.1
00061.0  	  962.2       	  28.1	  71	   441    	  22.2  	 250.8	   ///./	  315.1	 348.1  	 1113.0 	 26.8    	   35.7    	  31.2    	 17.51       	 32251.3      	   2.2   	 278    	 ////./       	 ////./       	 ////./        	   76.33407	  10.04146	   441.7
00062.0  	  961.6       	  28.0	  71	   446    	  22.2  	 250.7	   ///./	  315.9	 348.1  	 1112.5 	 26.8    	   35.7    	  31.2    	 17.49       	 32252.3      	   2.1   	 277    	 ////./       	 ////./       	 ////./        	   76.33409	  10.04146	   447.3
00063.0  	  961.0       	  28.0	  71	   452    	  22.1  	 250.6	   ///./	  316.6	 348.1  	 1112.0 	 26.7    	   35.7    	  31.1    	 17.46       	 32253.3      	   2.0   	 276    	 ////./       	 ////./       	 ////./        	   76.33411	  10.04146	   452.7
00064.0  	  960.5       	  27.9	  71	   457    	  22.1  	 250.5	   ///./	  317.3	 348.0  	 1111.6 	 26.6    	   35.7    	  31.1    	 17.44       	 32254.3      	   2.0   	 276    	 ////./       	 ////./       	 ////./        	   76.33413	  10.04146	   457.9
00065.0  	  959.9       	  27.9	  71	   462    	  22.1  	 250.4	   ///./	  318.1	 348.0  	 1111.1 	 26.6    	   35.7    	  31.0    	 17.41       	 32255.3      	   1.9   	 275    	 ////./       	 ////./       	 ////./        	   76.33415	  10.04146	   463.1
00066.0  	  959.3       	  27.8	  71	   467    	  22.0  	 250.3	   ///./	  318.8	 348.0  	 1110.6 	 26.5    	   35.7    	  31.0    	 17.39       	 32256.3      	   1.9   	 275    	 ////./       	 ////./       	 ////./        	   76.33417	  10.04145	   468.3
00067.0  	  958.8       	  27.8	  71	   472    	  22.0  	 250.2	   ///./	  319.5	 347.9  	 1110.2 	 26.5    	   35.7    	  30.9    	 17.36       	 32257.3      	   2.0   	 275    	 ////./       	 ////./       	 ////./        	   76.33419	  10.04145	   473.4
00068.0  	  958.2       	  27.7	  71	   477    	  22.0  	 250.1	   ///./	  320.2	 347.9  	 1109.8 	 26.4    	   35.7    	  30.8    	 17.34       	 32258.3      	   2.0   	 275    	 ////./       	 ////./       	 ////./        	   76.33421	  10.04145	   478.6
00069.0  	  957.7       	  27.6	  71	   482    	  21.9  	 250.0	   ///./	  320.9	 347.9  	 1109.4 	 26.4    	   35.7    	  30.8    	 17.31       	 32259.3      	   2.0   	 275    	 ////./       	 ////./       	 ////./        	   76.33423	  10.04145	   483.5
00070.0  	  957.2       	  27.6	  71	   487    	  21.9  	 249.9	   ///./	  321.6	 347.8  	 1109.0 	 26.3    	   35.7    	  30.7    	 17.29       	 32260.3      	   2.0   	 275    	 ////./       	 ////./       	 ////./        	   76.33426	  10.04145	   488.3
00071.0  	  956.6       	  27.5	  71	   492    	  21.9  	 249.8	   ///./	  322.2	 347.8  	 1108.5 	 26.3    	   35.7    	  30.7    	 17.26       	 32261.3      	   2.1   	 275    	 ////./       	 ////./       	 ////./        	   76.33428	  10.04145	   493.2
00072.0  	  956.1       	  27.5	  71	   497    	  21.8  	 249.7	   ///./	  322.9	 347.8  	 1108.1 	 26.2    	   35.7    	  30.6    	 17.24       	 32262.3      	   2.1   	 275    	 ////./       	 ////./       	 ////./        	   76.33430	  10.04144	   498.0
00073.0  	  955.5       	  27.4	  71	   502    	  21.8  	 249.6	   ///./	  323.6	 347.7  	 1107.6 	 26.2    	   35.7    	  30.5    	 17.21       	 32263.3      	   2.1   	 275    	 ////./       	 ////./       	 ////./        	   76.33432	  10.04144	   502.9
00074.0  	  954.9       	  27.4	  72	   507    	  21.8  	 249.5	   ///./	  324.4	 347.7  	 1107.1 	 26.1    	   35.7    	  30.5    	 17.20       	 32264.3      	   2.1   	 275    	 ////./       	 ////./       	 ////./        	   76.33434	  10.04144	   508.6
00075.0  	  954.2       	  27.3	  72	   513    	  21.8  	 249.4	   ///./	  325.2	 347.7  	 1106.6 	 26.1    	   35.7    	  30.4    	 17.18       	 32265.3      	   2.2   	 275    	 ////./       	 ////./       	 ////./        	   76.33436	  10.04144	   514.7
00076.0  	  953.6       	  27.3	  72	   519    	  21.7  	 249.3	   ///./	  326.0	 347.6  	 1106.0 	 26.1    	   35.7    	  30.4    	 17.17       	 32266.3      	   2.2   	 275    	 ////./       	 ////./       	 ////./        	   76.33438	  10.04144	   520.8
00077.0  	  953.0       	  27.2	  72	   526    	  21.7  	 249.2	   ///./	  326.9	 347.6  	 1105.5 	 26.0    	   35.7    	  30.3    	 17.16       	 32267.3      	   2.2   	 275    	 ////./       	 ////./       	 ////./        	   76.33440	  10.04143	   526.9
00078.0  	  952.4       	  27.1	  72	   532    	  21.7  	 249.1	   ///./	  327.7	 347.6  	 1105.0 	 26.0    	   35.7    	  30.2    	 17.15       	 32268.3      	   2.2   	 275    	 ////./       	 ////./       	 ////./        	   76.33442	  10.04143	   533.0
00079.0  	  951.7       	  27.1	  72	   538    	  21.7  	 249.0	   ///./	  328.6	 347.6  	 1104.4 	 25.9    	   35.7    	  30.2    	 17.14       	 32269.3      	   2.3   	 275    	 ////./       	 ////./       	 ////./        	   76.33443	  10.04143	   539.1
00080.0  	  951.0       	  27.0	  72	   544    	  21.6  	 248.8	   ///./	  329.5	 347.5  	 1103.8 	 25.9    	   35.7    	  30.1    	 17.12       	 32270.3      	   2.3   	 275    	 ////./       	 ////./       	 ////./        	   76.33445	  10.04143	   545.5
00081.0  	  950.3       	  27.0	  73	   550    	  21.6  	 248.7	   ///./	  330.3	 347.5  	 1103.3 	 25.9    	   35.7    	  30.1    	 17.11       	 32271.3      	   2.3   	 275    	 ////./       	 ////./       	 ////./        	   76.33447	  10.04142	   551.9
00082.0  	  949.7       	  26.9	  73	   557    	  21.6  	 248.6	   ///./	  331.2	 347.5  	 1102.7 	 25.8    	   35.7    	  30.0    	 17.10       	 32272.3      	   2.3   	 275    	 ////./       	 ////./       	 ////./        	   76.33449	  10.04142	   558.2
00083.0  	  949.0       	  26.9	  73	   563    	  21.6  	 248.5	   ///./	  332.1	 347.4  	 1102.1 	 25.8    	   35.7    	  30.0    	 17.09       	 32273.3      	   2.4   	 275    	 ////./       	 ////./       	 ////./        	   76.33451	  10.04142	   564.6
00084.0  	  948.3       	  26.8	  73	   570    	  21.6  	 248.3	   ///./	  333.0	 347.4  	 1101.5 	 25.8    	   35.7    	  29.9    	 17.08       	 32274.3      	   2.4   	 275    	 ////./       	 ////./       	 ////./        	   76.33453	  10.04142	   571.0
00085.0  	  947.7       	  26.8	  73	   576    	  21.5  	 248.2	   ///./	  333.8	 347.4  	 1101.0 	 25.7    	   35.7    	  29.8    	 17.07       	 32275.3      	   2.4   	 275    	 ////./       	 ////./       	 ////./        	   76.33455	  10.04141	   577.2
00086.0  	  947.0       	  26.7	  73	   582    	  21.5  	 248.1	   ///./	  334.7	 347.3  	 1100.4 	 25.7    	   35.7    	  29.8    	 17.05       	 32276.3      	   2.4   	 275    	 ////./       	 ////./       	 ////./        	   76.33457	  10.04141	   583.3
00087.0  	  946.3       	  26.7	  73	   588    	  21.5  	 248.0	   ///./	  335.5	 347.3  	 1099.8 	 25.7    	   35.7    	  29.7    	 17.04       	 32277.3      	   2.4   	 275    	 ////./       	 ////./       	 ////./        	   76.33459	  10.04141	   589.5
00088.0  	  945.7       	  26.6	  73	   594    	  21.5  	 247.9	   ///./	  336.4	 347.3  	 1099.3 	 25.6    	   35.7    	  29.7    	 17.03       	 32278.3      	   2.4   	 275    	 ////./       	 ////./       	 ////./        	   76.33461	  10.04141	   595.6
00089.0  	  945.0       	  26.5	  74	   600    	  21.4  	 247.8	   ///./	  337.2	 347.2  	 1098.7 	 25.6    	   35.7    	  29.6    	 17.02       	 32279.3      	   2.3   	 276    	 ////./       	 ////./       	 ////./        	   76.33463	  10.04140	   601.8
00090.0  	  944.4       	  26.5	  74	   606    	  21.4  	 247.6	   ///./	  338.0	 347.2  	 1098.1 	 25.6    	   35.7    	  29.6    	 17.00       	 32280.3      	   2.3   	 276    	 ////./       	 ////./       	 ////./        	   76.33465	  10.04140	   607.9
00091.0  	  943.8       	  26.4	  74	   612    	  21.4  	 247.5	   ///./	  338.9	 347.2  	 1097.6 	 25.5    	   35.7    	  29.5    	 16.99       	 32281.3      	   2.3   	 276    	 ////./       	 ////./       	 ////./        	   76.33466	  10.04140	   613.7
00092.0  	  943.1       	  26.4	  74	   618    	  21.4  	 247.4	   ///./	  339.7	 347.1  	 1097.1 	 25.5    	   35.7    	  29.4    	 16.97       	 32282.3      	   2.3   	 276    	 ////./       	 ////./       	 ////./        	   76.33468	  10.04140	   619.6
00093.0  	  942.5       	  26.3	  74	   624    	  21.3  	 247.3	   ///./	  340.5	 347.1  	 1096.5 	 25.4    	   35.7    	  29.4    	 16.96       	 32283.3      	   2.2   	 276    	 ////./       	 ////./       	 ////./        	   76.33470	  10.04139	   625.4
00094.0  	  941.9       	  26.3	  74	   630    	  21.3  	 247.2	   ///./	  341.3	 347.1  	 1096.0 	 25.4    	   35.7    	  29.3    	 16.95       	 32284.3      	   2.2   	 277    	 ////./       	 ////./       	 ////./        	   76.33472	  10.04139	   631.3
00095.0  	  941.2       	  26.2	  74	   636    	  21.3  	 247.1	   ///./	  342.1	 347.1  	 1095.5 	 25.4    	   35.7    	  29.3    	 16.93       	 32285.3      	   2.2   	 277    	 ////./       	 ////./       	 ////./        	   76.33474	  10.04139	   637.2
00096.0  	  940.6       	  26.2	  74	   642    	  21.3  	 247.0	   ///./	  342.9	 347.0  	 1094.9 	 25.3    	   35.8    	  29.2    	 16.92       	 32286.3      	   2.2   	 277    	 ////./       	 ////./       	 ////./        	   76.33476	  10.04139	   643.3
00097.0  	  940.0       	  26.1	  75	   648    	  21.2  	 246.8	   ///./	  343.8	 347.0  	 1094.4 	 25.3    	   35.8    	  29.2    	 16.90       	 32287.3      	   2.2   	 277    	 ////./       	 ////./       	 ////./        	   76.33478	  10.04138	   649.4
00098.0  	  939.3       	  26.1	  75	   654    	  21.2  	 246.7	   ///./	  344.6	 347.0  	 1093.8 	 25.2    	   35.8    	  29.1    	 16.89       	 32288.3      	   2.1   	 277    	 ////./       	 ////./       	 ////./        	   76.33480	  10.04138	   655.6
00099.0  	  938.7       	  26.0	  75	   660    	  21.2  	 246.6	   ///./	  345.5	 346.9  	 1093.2 	 25.2    	   35.8    	  29.1    	 16.88       	 32289.3      	   2.1   	 278    	 ////./       	 ////./       	 ////./        	   76.33482	  10.04138	   661.7
00100.0  	  938.0       	  26.0	  75	   666    	  21.2  	 246.5	   ///./	  346.3	 346.9  	 1092.7 	 25.2    	   35.8    	  29.0    	 16.86       	 32290.3      	   2.1   	 278    	 ////./       	 ////./       	 ////./        	   76.33484	  10.04138	   667.9
00101.0  	  937.3       	  25.9	  75	   672    	  21.1  	 246.3	   ///./	  347.2	 346.9  	 1092.1 	 25.1    	   35.8    	  28.9    	 16.85       	 32291.3      	   2.1   	 278    	 ////./       	 ////./       	 ////./        	   76.33486	  10.04137	   674.1
