Time [mm:ss]	UTC Time [hh:mm:ss]	T [°C]   	U [%r H]	Tu Cap [°C]
62:48.5     	09:59:17.8         	3.13     	55.8    	4.07
62:49.4     	09:59:18.7         	3.04     	56.1    	4.05
62:50.3     	09:59:19.6         	3.01     	56.3    	3.98
62:51.2     	09:59:20.5         	3.03     	56.6    	3.91
62:52.1     	09:59:21.4         	3.08     	56.8    	3.84
62:53.0     	09:59:22.3         	3.08     	57.1    	3.76
62:53.9     	09:59:23.2         	3.07     	57.3    	3.69
62:54.8     	09:59:24.1         	3.05     	57.5    	3.63
62:55.7     	09:59:25.0         	3.04     	57.7    	3.58
62:56.6     	09:59:25.9         	3.03     	57.9    	3.53
62:57.5     	09:59:26.8         	3.03     	58.0    	3.49
62:58.4     	09:59:27.7         	3.06     	58.0    	3.47
62:59.3     	09:59:28.6         	3.10     	58.0    	3.46
63:00.2     	09:59:29.5         	3.16     	58.0    	3.46
63:01.1     	09:59:30.4         	3.25     	57.9    	3.49
63:02.0     	09:59:31.3         	3.35     	57.9    	3.53
63:02.9     	09:59:32.2         	3.45     	57.9    	3.59
63:03.7     	09:59:33.0         	3.54     	58.0    	3.73
63:04.7     	09:59:34.0         	3.62     	58.5    	3.90
63:05.5     	09:59:34.8         	3.68     	59.2    	4.04
63:06.4     	09:59:35.7         	3.68     	60.1    	4.15
63:07.3     	09:59:36.6         	3.71     	60.7    	4.18
63:08.2     	09:59:37.5         	3.75     	61.1    	4.19
63:09.1     	09:59:38.4         	3.76     	61.5    	4.18
63:10.0     	09:59:39.3         	3.75     	61.9    	4.15
63:10.9     	09:59:40.2         	3.73     	62.3    	4.12
63:11.8     	09:59:41.1         	3.75     	62.5    	4.11
63:12.7     	09:59:42.0         	3.81     	62.6    	4.10
63:13.6     	09:59:42.9         	3.87     	62.6    	4.10
63:14.4     	09:59:43.7         	3.95     	62.6    	4.12
63:15.3     	09:59:44.7         	4.02     	62.7    	4.14
63:16.3     	09:59:45.7         	4.10     	62.7    	4.18
63:17.1     	09:59:46.5         	4.20     	62.8    	4.24
63:18.0     	09:59:47.4         	4.30     	62.8    	4.30
63:18.9     	09:59:48.3         	4.40     	62.9    	4.45
63:19.8     	09:59:49.2         	4.47     	63.5    	4.61
63:20.7     	09:59:50.1         	4.53     	64.2    	4.73
63:21.6     	09:59:51.0         	4.62     	64.5    	4.84
63:22.5     	09:59:51.9         	4.71     	64.7    	4.95
63:23.4     	09:59:52.8         	4.80     	64.8    	5.04
63:24.3     	09:59:53.7         	4.89     	64.9    	5.11
63:25.2     	09:59:54.6         	5.01     	64.8    	5.16
63:26.1     	09:59:55.5         	5.14     	64.5    	5.20
63:27.0     	09:59:56.4         	5.26     	64.1    	5.25
63:27.9     	09:59:57.3         	5.37     	63.9    	5.30
63:28.8     	09:59:58.2         	5.47     	63.7    	5.36
63:29.7     	09:59:59.1         	5.57     	63.6    	5.43
63:30.6     	10:00:00.0         	5.65     	63.5    	5.56
63:31.5     	10:00:00.9         	5.72     	63.6    	5.73
63:32.4     	10:00:01.8         	5.75     	64.1    	5.84
63:33.2     	10:00:02.6         	5.79     	64.2    	5.92
63:34.2     	10:00:03.5         	5.84     	64.2    	5.97
63:35.1     	10:00:04.4         	5.89     	64.2    	6.01
63:36.0     	10:00:05.3         	5.98     	63.9    	6.05
63:36.9     	10:00:06.2         	6.07     	63.7    	6.09
63:37.8     	10:00:07.1         	6.16     	63.5    	6.13
63:38.7     	10:00:08.0         	6.25     	63.3    	6.18
63:39.6     	10:00:08.9         	6.34     	63.2    	6.24
63:40.5     	10:00:09.8         	6.44     	63.1    	6.30
63:41.4     	10:00:10.7         	6.54     	63.0    	6.40
63:42.3     	10:00:11.6         	6.64     	63.0    	6.53
63:43.2     	10:00:12.5         	6.71     	63.3    	6.73
63:44.1     	10:00:13.4         	6.75     	64.1    	6.92
63:45.0     	10:00:14.3         	6.79     	64.8    	7.07
63:45.9     	10:00:15.2         	6.81     	65.5    	7.20
63:46.7     	10:00:16.0         	6.82     	66.0    	7.28
63:47.7     	10:00:17.0         	6.85     	66.2    	7.30
63:48.6     	10:00:17.9         	6.92     	66.0    	7.31
63:49.4     	10:00:18.7         	7.03     	65.5    	7.31
63:50.3     	10:00:19.6         	7.15     	65.0    	7.33
63:51.3     	10:00:20.6         	7.27     	64.5    	7.35
63:52.1     	10:00:21.4         	7.38     	64.2    	7.38
63:53.0     	10:00:22.3         	7.48     	63.8    	7.42
63:53.9     	10:00:23.2         	7.59     	63.5    	7.48
63:54.8     	10:00:24.1         	7.69     	63.2    	7.54
63:55.7     	10:00:25.0         	7.76     	63.2    	7.60
63:56.6     	10:00:25.9         	7.82     	63.3    	7.67
63:57.5     	10:00:26.8         	7.83     	63.5    	7.74
63:58.4     	10:00:27.7         	7.84     	63.8    	7.80
63:59.3     	10:00:28.6         	7.88     	63.8    	7.90
64:00.2     	10:00:29.5         	7.93     	64.0    	8.08
64:01.1     	10:00:30.4         	7.98     	64.5    	8.20
64:02.0     	10:00:31.3         	8.07     	64.6    	8.27
64:02.9     	10:00:32.2         	8.19     	64.2    	8.32
64:03.8     	10:00:33.1         	8.30     	63.8    	8.37
64:04.7     	10:00:34.0         	8.39     	63.4    	8.40
64:05.5     	10:00:34.8         	8.48     	63.0    	8.45
64:06.5     	10:00:35.8         	8.60     	62.5    	8.50
64:07.4     	10:00:36.7         	8.71     	62.1    	8.56
64:08.2     	10:00:37.5         	8.81     	61.7    	8.63
64:09.1     	10:00:38.4         	8.83     	61.8    	8.76
64:10.0     	10:00:39.3         	8.84     	62.1    	8.90
64:10.9     	10:00:40.2         	8.88     	62.4    	8.99
64:11.8     	10:00:41.1         	8.99     	62.2    	9.05
64:12.7     	10:00:42.0         	9.11     	61.8    	9.10
64:13.6     	10:00:42.9         	9.24     	61.4    	9.15
64:14.5     	10:00:43.8         	9.35     	61.0    	9.21
64:15.4     	10:00:44.7         	9.45     	60.8    	9.28
64:16.3     	10:00:45.6         	9.56     	60.5    	9.35
64:17.2     	10:00:46.5         	9.65     	60.3    	9.47
64:18.1     	10:00:47.4         	9.71     	60.4    	9.65
64:19.0     	10:00:48.3         	9.75     	60.9    	9.85
64:19.9     	10:00:49.2         	9.82     	61.3    	10.03
64:20.8     	10:00:50.1         	9.88     	61.6    	10.14
64:21.6     	10:00:50.9         	9.94     	61.7    	10.18
64:22.6     	10:00:51.9         	10.01    	61.6    	10.21
64:23.5     	10:00:52.8         	10.05    	61.6    	10.23
64:24.3     	10:00:53.6         	10.14    	61.3    	10.26
64:25.2     	10:00:54.5         	10.27    	60.9    	10.29
64:26.2     	10:00:55.5         	10.39    	60.4    	10.33
64:27.0     	10:00:56.3         	10.50    	59.9    	10.38
64:27.9     	10:00:57.3         	10.61    	59.4    	10.45
64:28.8     	10:00:58.2         	10.73    	58.9    	10.53
64:29.7     	10:00:59.1         	10.85    	58.5    	10.61
64:30.6     	10:01:00.0         	10.97    	58.2    	10.70
64:31.5     	10:01:00.9         	11.08    	57.8    	10.81
64:32.4     	10:01:01.8         	11.17    	57.5    	10.97
64:33.3     	10:01:02.7         	11.18    	57.9    	11.15
64:34.2     	10:01:03.6         	11.18    	58.4    	11.30
64:35.1     	10:01:04.5         	11.20    	58.7    	11.40
64:36.0     	10:01:05.4         	11.27    	58.7    	11.46
64:36.9     	10:01:06.3         	11.39    	58.4    	11.50
64:37.8     	10:01:07.2         	11.49    	58.2    	11.53
64:38.7     	10:01:08.1         	11.46    	58.7    	11.54
64:39.6     	10:01:09.0         	11.48    	59.0    	11.56
64:40.4     	10:01:09.8         	11.56    	59.0    	11.59
64:41.3     	10:01:10.7         	11.62    	59.2    	11.62
64:42.3     	10:01:11.7         	11.59    	59.1    	11.64
64:43.1     	10:01:12.5         	11.53    	60.6    	11.65
64:44.1     	10:01:13.4         	11.38    	61.8    	11.64
64:45.0     	10:01:14.3         	11.30    	62.6    	11.68
64:45.9     	10:01:15.2         	11.23    	63.5    	11.76
64:46.8     	10:01:16.1         	11.20    	64.4    	11.83
64:47.7     	10:01:17.0         	11.21    	65.0    	11.87
64:48.6     	10:01:17.9         	11.26    	65.4    	11.87
64:49.5     	10:01:18.8         	11.38    	65.3    	11.86
64:50.4     	10:01:19.7         	11.50    	65.1    	11.85
64:51.3     	10:01:20.6         	11.62    	64.9    	11.85
64:52.2     	10:01:21.5         	11.73    	64.7    	11.87
64:53.1     	10:01:22.4         	11.84    	64.6    	11.90
64:54.0     	10:01:23.3         	11.96    	64.5    	11.95
64:54.9     	10:01:24.2         	12.08    	64.5    	12.02
64:56.3     	10:01:25.6         	12.20    	64.4    	12.09
64:56.5     	10:01:25.8         	12.20    	64.4    	12.09
64:56.6     	10:01:25.9         	12.29    	64.3    	12.25
64:57.6     	10:01:26.9         	12.35    	65.2    	12.41
64:58.5     	10:01:27.8         	12.39    	66.0    	12.51
64:59.4     	10:01:28.7         	12.47    	66.3    	12.58
65:00.2     	10:01:29.5         	12.60    	66.2    	12.63
65:01.6     	10:01:30.9         	12.47    	66.2    	12.69
65:02.1     	10:01:31.4         	12.88    	65.6    	12.75
65:02.9     	10:01:32.2         	12.60    	67.5    	12.81
65:03.8     	10:01:33.1         	13.07    	66.0    	12.88
65:04.7     	10:01:34.0         	13.14    	66.4    	13.01
65:05.6     	10:01:34.9         	13.25    	66.5    	13.20
65:06.5     	10:01:35.8         	13.29    	67.5    	13.35
65:07.4     	10:01:36.7         	13.29    	68.6    	13.45
65:08.3     	10:01:37.6         	13.36    	69.2    	13.51
65:09.2     	10:01:38.5         	13.48    	69.2    	13.55
65:10.1     	10:01:39.4         	13.63    	69.0    	13.60
65:11.0     	10:01:40.3         	13.75    	69.1    	13.64
65:11.9     	10:01:41.2         	13.77    	70.1    	13.69
65:13.0     	10:01:42.3         	13.79    	70.9    	13.70
65:13.7     	10:01:43.0         	13.74    	72.2    	13.74
65:14.6     	10:01:43.9         	13.78    	72.9    	13.81
65:15.5     	10:01:44.8         	13.79    	73.9    	13.95
65:16.4     	10:01:45.7         	13.68    	75.8    	14.01
65:17.3     	10:01:46.6         	13.60    	77.2    	14.04
65:18.2     	10:01:47.5         	13.58    	78.1    	14.04
65:19.0     	10:01:48.3         	13.61    	78.5    	14.03
65:19.9     	10:01:49.2         	13.64    	78.8    	14.00
65:20.9     	10:01:50.2         	13.62    	79.3    	13.97
65:21.7     	10:01:51.0         	13.64    	79.6    	13.95
65:22.6     	10:01:51.9         	13.66    	79.9    	13.93
65:23.5     	10:01:52.8         	13.69    	80.2    	13.92
65:24.4     	10:01:53.7         	13.71    	80.5    	13.91
65:25.3     	10:01:54.6         	13.65    	81.4    	13.90
65:26.2     	10:01:55.5         	13.62    	82.0    	13.89
65:27.1     	10:01:56.4         	13.64    	82.4    	13.96
65:28.0     	10:01:57.3         	13.66    	83.1    	14.07
65:28.9     	10:01:58.2         	13.67    	84.0    	14.14
65:29.8     	10:01:59.1         	13.71    	84.6    	14.18
65:30.7     	10:02:00.0         	13.81    	84.5    	14.18
65:31.6     	10:02:00.9         	13.93    	84.2    	14.19
65:32.5     	10:02:01.8         	14.04    	83.9    	14.20
65:33.4     	10:02:02.7         	14.15    	83.6    	14.22
65:34.3     	10:02:03.6         	14.25    	83.5    	14.26
65:35.1     	10:02:04.4         	14.34    	83.4    	14.31
65:36.0     	10:02:05.3         	14.39    	83.5    	14.36
65:37.0     	10:02:06.3         	14.43    	83.7    	14.41
65:37.8     	10:02:07.1         	14.47    	83.5    	14.65
65:38.7     	10:02:08.0         	14.51    	84.8    	14.76
65:39.6     	10:02:08.9         	14.58    	85.0    	14.82
65:40.5     	10:02:09.8         	14.71    	84.7    	14.86
65:41.4     	10:02:10.7         	14.80    	84.3    	14.89
65:42.3     	10:02:11.7         	14.90    	84.0    	14.93
65:43.2     	10:02:12.6         	15.01    	83.6    	14.97
65:44.1     	10:02:13.5         	15.13    	83.2    	15.01
65:45.0     	10:02:14.4         	15.12    	83.6    	15.12
65:45.9     	10:02:15.3         	15.12    	84.3    	15.26
65:46.8     	10:02:16.2         	15.10    	85.2    	15.37
65:47.7     	10:02:17.1         	15.11    	85.7    	15.45
65:48.6     	10:02:18.0         	15.15    	86.0    	15.49
65:49.5     	10:02:18.9         	15.21    	85.9    	15.50
65:50.4     	10:02:19.8         	15.29    	85.6    	15.50
65:51.2     	10:02:20.6         	15.37    	85.3    	15.51
65:52.1     	10:02:21.5         	15.46    	85.0    	15.53
65:53.1     	10:02:22.5         	15.55    	84.7    	15.55
65:53.9     	10:02:23.3         	15.65    	84.5    	15.59
65:54.8     	10:02:24.2         	15.75    	84.3    	15.68
65:55.7     	10:02:25.1         	15.83    	84.2    	15.84
65:56.6     	10:02:26.0         	15.90    	84.6    	16.01
65:57.5     	10:02:26.9         	15.97    	85.1    	16.13
65:58.4     	10:02:27.8         	16.06    	85.2    	16.19
65:59.3     	10:02:28.7         	16.18    	84.9    	16.22
66:00.2     	10:02:29.6         	16.28    	84.3    	16.26
66:01.1     	10:02:30.5         	16.39    	83.8    	16.30
66:02.0     	10:02:31.4         	16.51    	83.2    	16.36
66:02.9     	10:02:32.3         	16.63    	82.6    	16.42
66:03.8     	10:02:33.2         	16.74    	82.1    	16.56
66:04.7     	10:02:34.1         	16.82    	81.6    	16.42
66:05.6     	10:02:35.0         	16.93    	80.0    	16.84
66:06.5     	10:02:35.9         	17.06    	81.1    	16.94
66:07.4     	10:02:36.8         	17.19    	80.4    	17.02
66:08.3     	10:02:37.7         	17.34    	79.5    	17.10
66:09.2     	10:02:38.6         	17.49    	78.5    	17.18
66:10.0     	10:02:39.4         	17.61    	77.9    	17.27
66:11.0     	10:02:40.4         	17.68    	77.8    	17.35
66:11.9     	10:02:41.3         	17.74    	77.8    	17.43
66:12.7     	10:02:42.1         	17.82    	77.9    	17.52
66:13.6     	10:02:43.0         	17.88    	78.0    	17.61
66:14.6     	10:02:44.0         	17.93    	78.1    	17.77
66:15.4     	10:02:44.8         	17.97    	78.6    	17.90
66:16.3     	10:02:45.7         	18.06    	78.6    	17.98
66:17.2     	10:02:46.6         	18.18    	78.3    	18.05
66:18.1     	10:02:47.5         	18.31    	77.6    	18.12
66:19.0     	10:02:48.4         	18.45    	76.8    	18.20
66:19.9     	10:02:49.3         	18.60    	75.9    	18.29
66:20.8     	10:02:50.2         	18.73    	75.0    	18.38
66:21.7     	10:02:51.1         	18.84    	74.4    	18.50
66:22.6     	10:02:52.0         	18.91    	74.1    	18.68
66:23.5     	10:02:52.9         	18.96    	74.2    	18.85
66:24.4     	10:02:53.8         	18.99    	74.4    	18.99
66:25.3     	10:02:54.7         	19.06    	74.4    	19.08
66:26.2     	10:02:55.6         	19.16    	74.1    	19.14
66:27.1     	10:02:56.5         	19.19    	74.5    	19.17
66:28.0     	10:02:57.4         	19.10    	75.8    	19.18
66:28.9     	10:02:58.3         	19.07    	76.6    	19.18
66:29.8     	10:02:59.2         	19.15    	76.5    	19.21
66:31.1     	10:03:00.5         	19.24    	76.5    	19.23
66:31.5     	10:03:00.9         	19.25    	77.2    	19.26
66:32.5     	10:03:01.9         	19.32    	77.4    	19.30
66:33.4     	10:03:02.8         	19.35    	77.9    	19.36
66:34.3     	10:03:03.6         	19.24    	79.1    	19.43
66:35.2     	10:03:04.5         	19.22    	79.7    	19.53
66:36.1     	10:03:05.4         	19.24    	80.5    	19.58
66:37.0     	10:03:06.3         	19.17    	81.5    	19.51
66:37.9     	10:03:07.2         	19.24    	81.0    	19.52
66:38.8     	10:03:08.1         	19.37    	80.9    	19.56
66:39.7     	10:03:09.0         	19.37    	81.6    	19.56
66:40.6     	10:03:09.9         	19.74    	79.9    	19.78
66:41.5     	10:03:10.8         	19.87    	80.4    	19.81
66:42.4     	10:03:11.7         	20.02    	79.6    	19.91
66:43.3     	10:03:12.6         	20.19    	79.0    	20.06
66:44.2     	10:03:13.5         	20.19    	79.7    	20.20
66:45.1     	10:03:14.4         	20.23    	79.9    	20.29
66:46.0     	10:03:15.3         	20.21    	80.8    	20.32
66:46.9     	10:03:16.2         	20.20    	81.5    	20.29
66:47.7     	10:03:17.0         	20.30    	81.2    	20.39
66:48.7     	10:03:18.0         	20.28    	82.2    	20.34
66:49.6     	10:03:18.9         	20.25    	82.3    	20.35
66:50.4     	10:03:19.7         	20.30    	82.4    	20.40
66:51.3     	10:03:20.6         	20.32    	82.6    	20.52
66:52.2     	10:03:21.5         	20.41    	82.8    	20.57
66:53.1     	10:03:22.4         	20.54    	82.5    	20.61
66:54.0     	10:03:23.3         	20.62    	82.3    	20.61
66:54.9     	10:03:24.2         	20.96    	80.6    	20.77
66:56.0     	10:03:25.3         	21.29    	81.6    	20.80
66:56.7     	10:03:26.0         	20.98    	81.6    	20.81
66:57.6     	10:03:26.9         	21.17    	80.7    	20.90
66:58.5     	10:03:27.8         	21.28    	80.6    	20.90
67:00.1     	10:03:29.4         	21.39    	80.6    	20.89
67:00.3     	10:03:29.6         	21.39    	79.7    	21.15
67:01.2     	10:03:30.5         	21.45    	80.6    	21.22
67:02.1     	10:03:31.4         	21.68    	79.7    	21.34
67:03.0     	10:03:32.3         	21.34    	81.8    	21.36
67:04.1     	10:03:33.4         	21.00    	81.7    	21.38
67:05.0     	10:03:34.3         	21.00    	81.5    	21.68
67:05.7     	10:03:35.0         	22.12    	79.1    	21.77
67:06.5     	10:03:35.8         	22.24    	78.8    	21.83
67:07.9     	10:03:37.2         	22.36    	78.6    	21.77
67:08.3     	10:03:37.6         	22.45    	77.7    	22.02
67:09.2     	10:03:38.5         	22.49    	78.2    	22.01
67:10.1     	10:03:39.5         	22.17    	79.3    	22.04
67:11.0     	10:03:40.4         	22.68    	77.0    	22.27
67:11.9     	10:03:41.3         	22.84    	77.0    	22.37
67:12.8     	10:03:42.2         	22.90    	77.1    	22.46
67:13.7     	10:03:43.1         	22.98    	77.0    	22.56
67:14.5     	10:03:43.9         	23.04    	77.1    	22.60
67:15.5     	10:03:44.9         	23.08    	77.0    	22.67
67:16.4     	10:03:45.8         	23.30    	76.2    	22.86
67:17.3     	10:03:46.6         	23.08    	77.6    	22.95
67:18.2     	10:03:47.5         	23.49    	75.8    	23.16
67:19.1     	10:03:48.4         	23.71    	75.6    	23.30
67:20.0     	10:03:49.3         	23.80    	75.6    	23.38
67:20.9     	10:03:50.2         	23.87    	75.6    	23.47
67:21.8     	10:03:51.1         	23.99    	75.3    	23.59
67:22.7     	10:03:52.0         	24.08    	75.3    	23.65
67:23.6     	10:03:52.9         	24.09    	75.1    	23.68
67:24.5     	10:03:53.8         	23.91    	75.8    	23.70
67:25.4     	10:03:54.7         	24.22    	74.2    	23.86
67:26.3     	10:03:55.6         	24.35    	74.3    	23.97
67:27.2     	10:03:56.5         	24.37    	74.7    	24.03
67:28.0     	10:03:57.3         	24.41    	74.5    	24.17
67:29.0     	10:03:58.3         	24.46    	74.8    	24.31
67:29.9     	10:03:59.2         	24.45    	75.9    	24.36
67:30.7     	10:04:00.0         	24.53    	76.2    	24.42
67:31.6     	10:04:00.9         	24.38    	77.4    	24.45
67:32.6     	10:04:01.9         	24.68    	76.3    	24.56
67:33.4     	10:04:02.7         	24.72    	76.7    	24.64
67:34.3     	10:04:03.6         	24.79    	76.5    	24.75
67:35.2     	10:04:04.5         	24.84    	76.7    	24.82
67:36.1     	10:04:05.4         	24.94    	76.5    	24.90
67:37.0     	10:04:06.3         	25.02    	76.6    	24.93
67:37.9     	10:04:07.2         	25.06    	76.6    	24.88
67:38.8     	10:04:08.1         	24.82    	77.5    	24.89
67:39.7     	10:04:09.0         	25.11    	76.1    	25.00
67:40.6     	10:04:09.9         	25.27    	75.6    	25.12
67:41.5     	10:04:10.8         	25.29    	75.7    	25.17
67:42.4     	10:04:11.7         	25.45    	75.0    	25.24
67:43.3     	10:04:12.6         	25.49    	75.0    	25.36
67:44.2     	10:04:13.5         	25.67    	74.6    	25.40
67:45.1     	10:04:14.4         	26.00    	73.1    	25.72
67:46.0     	10:04:15.3         	26.00    	74.2    	25.80
67:46.8     	10:04:16.1         	26.24    	73.2    	25.91
67:48.0     	10:04:17.3         	26.47    	74.1    	26.05
67:48.6     	10:04:18.0         	26.64    	72.2    	26.10
67:49.5     	10:04:18.9         	26.73    	71.9    	26.26
67:50.4     	10:04:19.8         	26.97    	71.8    	26.32
67:51.3     	10:04:20.7         	27.09    	71.8    	26.43
67:52.2     	10:04:21.6         	26.74    	73.0    	26.27
67:53.1     	10:04:22.5         	26.54    	72.9    	26.38
67:54.0     	10:04:23.4         	26.71    	72.6    	26.49
67:54.9     	10:04:24.3         	26.80    	72.6    	26.58
67:55.8     	10:04:25.2         	27.01    	72.0    	26.73
67:56.7     	10:04:26.1         	27.13    	72.1    	26.81
67:57.6     	10:04:27.0         	27.35    	71.3    	26.91
67:58.5     	10:04:27.9         	27.13    	72.5    	27.03
67:59.4     	10:04:28.8         	27.33    	72.1    	27.04
68:00.3     	10:04:29.7         	27.29    	72.4    	27.15
68:01.2     	10:04:30.6         	27.36    	72.6    	27.27
68:02.1     	10:04:31.5         	27.36    	72.6    	27.25
68:02.9     	10:04:32.3         	27.35    	74.4    	27.33
68:03.8     	10:04:33.2         	27.36    	74.9    	27.36
68:04.8     	10:04:34.2         	27.41    	74.9    	27.43
68:05.7     	10:04:35.0         	27.50    	75.0    	27.43
68:06.6     	10:04:35.9         	27.54    	74.8    	27.45
68:07.5     	10:04:36.8         	27.42    	75.5    	27.51
68:08.4     	10:04:37.7         	27.54    	75.2    	27.56
68:09.3     	10:04:38.6         	27.63    	75.0    	27.65
68:10.6     	10:04:39.9         	27.73    	74.8    	27.79
68:11.1     	10:04:40.4         	27.92    	74.4    	27.83
68:12.2     	10:04:41.5         	28.21    	75.0    	27.91
68:12.9     	10:04:42.2         	28.05    	74.6    	27.97
68:13.7     	10:04:43.0         	28.09    	74.7    	28.08
68:14.9     	10:04:44.2         	28.13    	75.2    	28.18
68:15.5     	10:04:44.8         	28.32    	75.6    	28.23
68:16.4     	10:04:45.7         	28.51    	74.0    	28.31
68:17.3     	10:04:46.6         	28.64    	73.6    	28.43
68:18.2     	10:04:47.5         	28.78    	73.3    	28.53
68:19.1     	10:04:48.4         	28.96    	72.9    	28.63
68:19.6     	10:04:48.9         	28.78    	72.4    	28.63
68:20.0     	10:04:49.3         	29.10    	72.2    	28.71
68:20.9     	10:04:50.2         	28.81    	74.1    	28.81
68:21.8     	10:04:51.1         	29.06    	73.0    	28.81
68:22.7     	10:04:52.0         	29.06    	73.0    	28.81
68:23.6     	10:04:52.9         	28.96    	73.7    	28.89
68:24.5     	10:04:53.8         	29.32    	72.4    	28.98
68:25.4     	10:04:54.7         	29.38    	71.7    	29.14
68:26.3     	10:04:55.6         	29.50    	72.1    	28.89
68:27.1     	10:04:56.4         	29.63    	71.3    	28.65
68:27.4     	10:04:56.7         	29.63    	70.8    	29.29
68:28.1     	10:04:57.4         	29.46    	72.5    	29.22
68:29.0     	10:04:58.3         	29.60    	71.2    	29.35
68:29.8     	10:04:59.1         	29.66    	71.3    	29.42
68:30.7     	10:05:00.0         	29.77    	71.0    	29.51
68:31.7     	10:05:01.1         	29.92    	70.7    	29.57
68:33.0     	10:05:02.4         	30.06    	70.5    	29.65
68:33.4     	10:05:02.8         	30.16    	69.9    	29.74
68:34.3     	10:05:03.7         	30.29    	70.2    	29.83
68:35.2     	10:05:04.6         	30.33    	70.4    	29.87
68:36.1     	10:05:05.5         	30.29    	70.8    	29.90
68:36.8     	10:05:06.2         	30.24    	71.1    	29.90
68:37.0     	10:05:06.4         	30.55    	71.1    	--
68:37.9     	10:05:07.3         	30.33    	--      	--
68:38.7     	10:05:08.1         	30.11    	--      	--
68:38.9     	10:05:08.3         	30.11    	--      	--
68:39.8     	10:05:09.2         	--       	--      	--
68:40.2     	10:05:09.6         	30.33    	--      	--
68:40.7     	10:05:10.1         	30.33    	--      	--
68:40.9     	10:05:10.3         	30.33    	--      	--
68:41.8     	10:05:11.2         	--       	--      	--
68:42.3     	10:05:11.7         	--       	--      	--
68:42.5     	10:05:11.9         	--       	--      	--
68:43.2     	10:05:12.6         	--       	--      	--
68:43.6     	10:05:13.0         	--       	--      	29.83
68:44.5     	10:05:13.9         	--       	--      	29.83
68:45.2     	10:05:14.6         	--       	--      	29.83
68:46.0     	10:05:15.4         	30.33    	--      	29.83
68:47.5     	10:05:16.9         	30.33    	--      	29.83
68:49.3     	10:05:18.7         	30.33    	--      	--
68:49.7     	10:05:19.1         	--       	--      	--
68:50.1     	10:05:19.5         	--       	--      	--
68:54.3     	10:05:23.7         	--       	--      	--
