Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
54:01.2     	09:50:30.6         	15281.0  	-27.7               	3.9                   	76.31615     	10.0769     	14738.7
54:02.1     	09:50:31.5         	15255.3  	-28.1               	5.5                   	76.31616     	10.0770     	14710.7
54:03.2     	09:50:32.6         	15230.2  	-28.0               	7.2                   	76.31616     	10.0770     	14682.8
54:04.1     	09:50:33.5         	---      	---                 	---                   	---          	---         	---
54:05.2     	09:50:34.6         	15182.0  	-27.4               	6.4                   	76.31613     	10.0771     	14628.8
54:06.1     	09:50:35.5         	15157.2  	-28.2               	8.0                   	76.31613     	10.0772     	14600.9
54:08.1     	09:50:37.5         	---      	---                 	---                   	---          	---         	---
54:09.2     	09:50:38.6         	15083.1  	-27.9               	7.7                   	76.31606     	10.0774     	14516.8
54:10.1     	09:50:39.5         	15058.5  	-27.8               	7.7                   	76.31604     	10.0775     	14488.9
54:11.0     	09:50:40.4         	15034.2  	-27.7               	7.6                   	76.31604     	10.0776     	14461.4
54:12.1     	09:50:41.5         	15009.8  	-27.7               	7.5                   	76.31604     	10.0776     	14433.9
54:13.1     	09:50:42.5         	14985.0  	-27.8               	7.4                   	76.31605     	10.0777     	14406.1
54:14.2     	09:50:43.6         	14960.8  	-27.7               	6.8                   	76.31604     	10.0778     	14378.8
54:15.1     	09:50:44.5         	4301.6   	-27.8               	4.9                   	76.31605     	10.0778     	0.0
54:16.3     	09:50:45.6         	14911.2  	-27.4               	5.5                   	76.31605     	10.0779     	14324.3
54:17.2     	09:50:46.5         	4310.5   	-27.4               	4.8                   	76.31606     	10.0779     	0.0
54:18.3     	09:50:47.6         	14862.0  	-26.8               	4.9                   	76.31607     	10.0779     	14270.4
54:20.3     	09:50:49.6         	14813.8  	-26.5               	5.7                   	76.31611     	10.0780     	14218.3
54:21.2     	09:50:50.5         	14789.7  	-26.7               	7.2                   	76.31614     	10.0781     	14191.9
54:22.3     	09:50:51.6         	14765.4  	-26.7               	7.3                   	76.31618     	10.0781     	14165.2
54:23.2     	09:50:52.5         	14741.2  	-26.7               	7.3                   	76.31621     	10.0782     	14138.6
54:25.2     	09:50:54.5         	14692.3  	-26.5               	6.4                   	76.31629     	10.0783     	14085.5
54:26.1     	09:50:55.4         	14668.4  	-26.5               	7.0                   	76.31633     	10.0783     	14059.5
54:27.2     	09:50:56.5         	14644.2  	-26.6               	7.7                   	76.31637     	10.0784     	14033.1
54:28.1     	09:50:57.4         	14619.4  	-27.0               	7.7                   	76.31641     	10.0784     	14005.9
54:29.3     	09:50:58.6         	4353.2   	-27.2               	7.5                   	76.31645     	10.0785     	0.0
54:31.3     	09:51:00.6         	14543.2  	-27.6               	7.7                   	76.31655     	10.0786     	13923.2
54:32.1     	09:51:01.4         	14518.3  	-27.3               	7.7                   	76.31661     	10.0786     	13896.2
54:33.3     	09:51:02.6         	14493.6  	-27.1               	7.5                   	76.31666     	10.0787     	13869.5
54:34.2     	09:51:03.5         	14469.1  	-26.7               	8.1                   	76.31671     	10.0787     	13843.0
54:35.3     	09:51:04.6         	4368.5   	0.0                 	8.0                   	76.31677     	10.0788     	0.0
54:36.2     	09:51:05.5         	14420.6  	-26.2               	7.7                   	76.31682     	10.0788     	13790.8
54:37.3     	09:51:06.6         	14396.3  	-26.0               	8.6                   	76.31689     	10.0788     	13765.0
54:38.2     	09:51:07.5         	14372.8  	-25.7               	8.0                   	76.31695     	10.0789     	13739.8
54:39.1     	09:51:08.4         	14349.2  	-25.7               	7.8                   	76.31700     	10.0789     	13714.3
54:42.2     	09:51:11.5         	14275.8  	-26.3               	8.4                   	76.31718     	10.0790     	13635.8
54:43.1     	09:51:12.4         	14251.0  	-26.1               	9.1                   	76.31726     	10.0791     	13609.9
54:45.1     	09:51:14.4         	14203.0  	-25.6               	9.0                   	76.31740     	10.0791     	13558.9
54:46.2     	09:51:15.5         	14179.2  	-25.5               	9.6                   	76.31748     	10.0792     	13533.7
54:47.1     	09:51:16.4         	---      	---                 	---                   	---          	---         	---
54:48.2     	09:51:17.5         	14131.3  	-25.3               	9.6                   	76.31765     	10.0792     	13483.4
54:49.2     	09:51:18.5         	14106.9  	-25.3               	9.7                   	76.31773     	10.0793     	13458.1
54:50.3     	09:51:19.6         	14082.8  	-25.2               	8.9                   	76.31781     	10.0793     	13432.9
54:51.2     	09:51:20.5         	14058.7  	-25.2               	8.2                   	76.31788     	10.0793     	13407.8
54:53.2     	09:51:22.5         	14010.8  	-25.4               	7.2                   	76.31801     	10.0794     	13357.2
54:54.1     	09:51:23.4         	13986.6  	-25.5               	7.1                   	76.31807     	10.0794     	13331.8
54:55.2     	09:51:24.5         	13962.4  	-25.6               	7.1                   	76.31813     	10.0794     	13306.0
54:56.1     	09:51:25.4         	---      	---                 	---                   	---          	---         	---
54:57.2     	09:51:26.5         	13913.7  	-26.0               	8.6                   	76.31826     	10.0795     	13254.4
54:58.1     	09:51:27.4         	---      	---                 	---                   	---          	---         	---
54:59.2     	09:51:28.5         	13866.2  	-25.7               	9.7                   	76.31840     	10.0796     	13203.1
55:00.2     	09:51:29.5         	13843.2  	-25.5               	9.8                   	76.31848     	10.0796     	13178.0
55:01.3     	09:51:30.6         	13819.3  	-25.8               	9.7                   	76.31855     	10.0797     	13151.9
55:02.2     	09:51:31.5         	13795.4  	-25.8               	9.5                   	76.31863     	10.0797     	13126.0
55:03.3     	09:51:32.6         	13770.7  	-26.2               	9.9                   	76.31871     	10.0797     	13099.6
55:04.2     	09:51:33.5         	13745.5  	-26.5               	10.9                  	76.31880     	10.0798     	13073.0
55:05.3     	09:51:34.6         	13720.8  	-26.4               	11.2                  	76.31889     	10.0798     	13046.6
55:07.1     	09:51:36.4         	13671.4  	-26.9               	9.5                   	76.31906     	10.0799     	12993.3
55:09.1     	09:51:38.4         	13619.8  	-27.2               	8.2                   	76.31920     	10.0800     	12938.8
55:10.2     	09:51:39.5         	13594.5  	-27.3               	8.2                   	76.31927     	10.0800     	12911.6
55:11.1     	09:51:40.4         	13569.9  	-27.3               	8.4                   	76.31932     	10.0800     	12884.7
55:12.2     	09:51:41.5         	13545.0  	-27.0               	7.2                   	76.31938     	10.0801     	12857.6
55:13.1     	09:51:42.4         	13520.3  	-26.7               	7.0                   	76.31944     	10.0801     	12831.1
55:14.2     	09:51:43.5         	13496.2  	-26.3               	7.9                   	76.31950     	10.0801     	12805.3
55:15.1     	09:51:44.4         	---      	---                 	---                   	---          	---         	---
55:16.3     	09:51:45.6         	4409.3   	-25.6               	9.9                   	76.31965     	10.0802     	0.0
55:17.1     	09:51:46.4         	13427.3  	-25.0               	9.2                   	76.31972     	10.0803     	12730.0
55:18.3     	09:51:47.6         	---      	---                 	---                   	---          	---         	---
55:20.0     	09:51:49.3         	13361.5  	-24.0               	9.4                   	76.31994     	10.0804     	12657.9
55:22.1     	09:51:51.4         	13320.2  	-23.9               	8.7                   	76.32006     	10.0805     	12611.1
55:23.2     	09:51:52.5         	13298.8  	-23.9               	8.3                   	76.32012     	10.0806     	12587.5
55:24.1     	09:51:53.4         	13276.0  	-24.8               	9.1                   	76.32019     	10.0806     	12562.7
55:25.2     	09:51:54.5         	13252.4  	-25.3               	8.6                   	76.32027     	10.0806     	12537.5
55:27.2     	09:51:56.5         	13206.8  	-24.8               	8.3                   	76.32041     	10.0807     	12487.6
55:28.1     	09:51:57.4         	13184.5  	-24.6               	9.1                   	76.32048     	10.0807     	12463.3
55:29.2     	09:51:58.5         	13162.3  	-24.4               	9.0                   	76.32055     	10.0808     	12439.1
55:30.1     	09:51:59.4         	13139.4  	-24.5               	9.3                   	76.32063     	10.0808     	12414.4
55:31.2     	09:52:00.5         	13116.6  	-24.7               	9.3                   	76.32071     	10.0808     	12389.7
55:32.1     	09:52:01.4         	13093.6  	-24.7               	9.6                   	76.32079     	10.0809     	12365.1
55:33.2     	09:52:02.5         	13070.5  	-24.5               	9.2                   	76.32087     	10.0809     	12340.7
55:34.1     	09:52:03.4         	13047.7  	-24.3               	10.9                  	76.32096     	10.0809     	12316.6
55:35.1     	09:52:04.4         	---      	---                 	---                   	---          	---         	---
55:36.2     	09:52:05.5         	13002.1  	-23.8               	11.9                  	76.32118     	10.0810     	12268.8
55:37.1     	09:52:06.4         	12979.6  	-23.7               	10.8                  	76.32128     	10.0810     	12245.2
55:38.2     	09:52:07.5         	12957.0  	-23.8               	9.7                   	76.32137     	10.0810     	12221.3
55:39.1     	09:52:08.4         	12934.4  	-24.2               	10.3                  	76.32146     	10.0810     	12197.1
55:40.2     	09:52:09.5         	12912.2  	-24.2               	10.7                  	76.32155     	10.0811     	12172.9
55:41.1     	09:52:10.4         	12890.1  	-24.4               	9.8                   	76.32163     	10.0811     	12148.6
55:42.2     	09:52:11.5         	12867.9  	-24.5               	9.6                   	76.32171     	10.0811     	12124.3
55:43.1     	09:52:12.5         	12845.9  	-24.4               	9.0                   	76.32178     	10.0812     	12099.9
55:44.2     	09:52:13.6         	12824.8  	-23.9               	8.2                   	76.32184     	10.0812     	12076.2
55:45.1     	09:52:14.5         	12803.7  	-23.7               	9.4                   	76.32191     	10.0813     	12052.8
55:47.1     	09:52:16.5         	---      	---                 	---                   	---          	---         	---
55:49.2     	09:52:18.6         	12718.9  	-23.4               	6.2                   	76.32215     	10.0814     	11960.3
55:50.0     	09:52:19.4         	12697.3  	0.0                 	6.5                   	76.32220     	10.0814     	11936.7
55:51.2     	09:52:20.6         	12676.0  	-23.1               	7.1                   	76.32226     	10.0814     	11913.4
55:52.0     	09:52:21.4         	12654.6  	-23.0               	8.0                   	76.32233     	10.0815     	11890.6
55:53.2     	09:52:22.6         	12633.1  	-23.0               	9.0                   	76.32240     	10.0815     	11867.3
55:54.0     	09:52:23.4         	12611.6  	-23.1               	8.2                   	76.32248     	10.0815     	11844.0
55:55.2     	09:52:24.6         	12590.9  	-22.6               	8.9                   	76.32255     	10.0815     	11821.2
55:56.1     	09:52:25.5         	12570.6  	-22.9               	8.1                   	76.32261     	10.0816     	11798.4
55:57.2     	09:52:26.6         	12549.9  	-23.2               	6.0                   	76.32266     	10.0816     	11775.2
55:58.1     	09:52:27.5         	---      	---                 	---                   	---          	---         	---
55:59.2     	09:52:28.6         	12510.2  	-22.5               	6.9                   	76.32277     	10.0817     	11730.6
56:00.1     	09:52:29.5         	12490.3  	-22.7               	7.2                   	76.32281     	10.0817     	11708.0
56:01.2     	09:52:30.6         	12471.0  	-22.5               	6.8                   	76.32286     	10.0818     	11685.8
56:02.1     	09:52:31.5         	12451.2  	-22.6               	6.6                   	76.32290     	10.0818     	11663.2
56:03.0     	09:52:32.4         	12431.3  	-22.6               	7.3                   	76.32295     	10.0819     	11640.6
56:04.1     	09:52:33.5         	12411.2  	-22.2               	7.1                   	76.32300     	10.0819     	11618.3
56:05.0     	09:52:34.4         	12390.5  	-21.9               	5.2                   	76.32306     	10.0819     	11596.1
56:06.1     	09:52:35.5         	12369.7  	-21.2               	5.8                   	76.32310     	10.0819     	11574.6
56:07.1     	09:52:36.5         	12349.2  	-21.4               	7.8                   	76.32316     	10.0819     	11553.1
56:08.2     	09:52:37.6         	---      	---                 	---                   	---          	---         	---
56:09.1     	09:52:38.5         	12311.5  	-21.7               	6.8                   	76.32327     	10.0820     	11509.9
56:10.2     	09:52:39.6         	12292.8  	-21.6               	4.0                   	76.32329     	10.0820     	11488.3
56:11.1     	09:52:40.5         	12273.7  	-21.7               	6.6                   	76.32332     	10.0821     	11466.8
56:12.2     	09:52:41.6         	12255.0  	-21.6               	7.7                   	76.32337     	10.0821     	11445.2
56:13.1     	09:52:42.5         	12236.5  	-21.6               	4.9                   	76.32340     	10.0821     	11423.6
56:14.2     	09:52:43.6         	12217.6  	-21.6               	6.4                   	76.32343     	10.0822     	11402.0
56:15.1     	09:52:44.5         	12199.2  	-21.5               	7.7                   	76.32347     	10.0822     	11380.5
56:16.2     	09:52:45.6         	12181.1  	-21.5               	5.2                   	76.32350     	10.0823     	11358.8
56:17.1     	09:52:46.5         	12162.3  	-21.6               	3.8                   	76.32351     	10.0823     	11337.2
56:18.0     	09:52:47.4         	12143.1  	-21.4               	7.0                   	76.32355     	10.0823     	11315.7
56:19.1     	09:52:48.5         	12124.7  	-21.3               	0.0                   	76.32360     	10.0824     	11294.3
56:20.1     	09:52:49.5         	12106.8  	-21.4               	5.9                   	76.32364     	10.0825     	11272.8
56:21.2     	09:52:50.6         	12088.2  	-21.4               	5.1                   	76.32366     	10.0825     	11251.3
56:22.1     	09:52:51.5         	12069.5  	-21.3               	7.6                   	76.32371     	10.0825     	11229.8
56:23.2     	09:52:52.6         	12051.5  	-21.4               	5.9                   	76.32374     	10.0826     	11208.3
56:24.1     	09:52:53.5         	12032.9  	-21.4               	3.9                   	76.32376     	10.0826     	11186.8
56:25.3     	09:52:54.6         	4555.0   	-21.5               	6.7                   	76.32379     	10.0826     	0.0
56:26.2     	09:52:55.5         	11996.0  	-21.4               	6.3                   	76.32383     	10.0827     	11143.9
56:27.3     	09:52:56.6         	11977.7  	-21.4               	3.4                   	76.32384     	10.0827     	11122.5
56:28.2     	09:52:57.5         	11958.8  	-21.4               	5.6                   	76.32387     	10.0828     	11101.1
56:29.3     	09:52:58.6         	11940.4  	-21.2               	8.1                   	76.32392     	10.0828     	11079.8
56:30.2     	09:52:59.5         	11923.2  	-21.0               	8.1                   	76.32395     	10.0829     	11058.7
56:31.1     	09:53:00.4         	11906.1  	-21.0               	5.3                   	76.32397     	10.0829     	11037.6
56:32.2     	09:53:01.5         	11887.9  	-21.1               	2.2                   	76.32397     	10.0830     	11016.6
56:33.1     	09:53:02.4         	---      	---                 	---                   	---          	---         	---
56:34.2     	09:53:03.5         	11849.7  	-21.0               	7.1                   	76.32405     	10.0830     	10974.5
56:35.1     	09:53:04.4         	11831.8  	-20.9               	7.5                   	76.32410     	10.0830     	10953.6
56:36.3     	09:53:05.6         	11814.2  	-21.1               	4.6                   	76.32412     	10.0831     	10932.6
56:37.1     	09:53:06.4         	---      	---                 	---                   	---          	---         	---
56:38.3     	09:53:07.6         	11777.0  	-21.0               	6.3                   	76.32418     	10.0831     	10890.5
56:39.1     	09:53:08.4         	11759.2  	-20.9               	7.3                   	76.32423     	10.0832     	10869.6
56:40.3     	09:53:09.6         	11741.6  	-21.0               	4.3                   	76.32425     	10.0832     	10848.6
56:41.1     	09:53:10.4         	11723.0  	-21.0               	4.3                   	76.32428     	10.0832     	10827.5
56:42.3     	09:53:11.6         	11704.5  	-20.8               	6.9                   	76.32432     	10.0833     	10806.6
56:43.2     	09:53:12.5         	11686.7  	-20.8               	6.2                   	76.32436     	10.0833     	10785.7
56:44.3     	09:53:13.6         	11668.8  	-20.9               	2.7                   	76.32439     	10.0833     	10764.8
56:46.1     	09:53:15.4         	11631.2  	-20.7               	6.5                   	76.32446     	10.0834     	10723.1
56:47.2     	09:53:16.5         	11613.5  	-20.6               	6.1                   	76.32450     	10.0834     	10702.4
56:48.1     	09:53:17.4         	11596.2  	-20.6               	3.7                   	76.32451     	10.0834     	10681.7
56:49.2     	09:53:18.5         	---      	---                 	---                   	---          	---         	---
56:50.1     	09:53:19.4         	11558.8  	-20.8               	4.0                   	76.32454     	10.0835     	10640.2
56:51.2     	09:53:20.5         	4628.1   	-20.7               	5.5                   	76.32458     	10.0835     	0.0
56:52.1     	09:53:21.4         	11522.1  	-20.7               	3.8                   	76.32461     	10.0835     	10598.8
56:53.2     	09:53:22.5         	11503.6  	-20.7               	1.9                   	76.32462     	10.0835     	10578.0
56:54.1     	09:53:23.4         	11484.3  	-20.7               	5.1                   	76.32465     	10.0835     	10557.2
56:55.2     	09:53:24.5         	11465.4  	-20.5               	6.9                   	76.32471     	10.0835     	10536.5
56:56.1     	09:53:25.4         	11447.8  	-20.5               	5.8                   	76.32475     	10.0836     	10516.0
56:57.2     	09:53:26.5         	11430.0  	-20.5               	2.4                   	76.32478     	10.0836     	10495.5
56:58.2     	09:53:27.5         	11411.3  	-20.5               	3.5                   	76.32480     	10.0836     	10474.9
56:59.1     	09:53:28.4         	11392.2  	-20.5               	6.3                   	76.32484     	10.0836     	10454.3
57:00.2     	09:53:29.5         	11374.0  	-20.5               	6.4                   	76.32489     	10.0836     	10433.7
57:01.1     	09:53:30.4         	11356.6  	-20.5               	4.1                   	76.32492     	10.0836     	10413.2
57:02.2     	09:53:31.5         	11338.7  	-20.4               	1.3                   	76.32494     	10.0837     	10392.7
57:03.1     	09:53:32.4         	11319.8  	-20.4               	4.1                   	76.32496     	10.0837     	10372.3
57:04.2     	09:53:33.5         	11301.0  	-20.4               	6.6                   	76.32501     	10.0837     	10351.8
57:05.1     	09:53:34.4         	11283.5  	-20.2               	7.1                   	76.32506     	10.0837     	10331.5
57:06.2     	09:53:35.5         	11266.7  	-20.4               	5.1                   	76.32509     	10.0837     	10311.2
57:07.1     	09:53:36.4         	11249.5  	-20.3               	2.3                   	76.32510     	10.0838     	10290.7
57:08.2     	09:53:37.5         	11231.4  	-20.0               	0.6                   	76.32510     	10.0838     	10270.5
57:09.1     	09:53:38.4         	---      	---                 	---                   	---          	---         	---
57:10.3     	09:53:39.6         	11194.0  	-19.9               	6.0                   	76.32516     	10.0838     	10230.4
57:11.2     	09:53:40.5         	11176.1  	-19.8               	7.3                   	76.32522     	10.0838     	10210.4
57:12.3     	09:53:41.6         	11159.6  	-19.9               	7.3                   	76.32526     	10.0838     	10190.4
57:13.2     	09:53:42.5         	11143.8  	-20.0               	5.8                   	76.32528     	10.0839     	10170.5
57:14.0     	09:53:43.3         	11127.4  	-19.9               	3.2                   	76.32528     	10.0839     	10150.4
57:15.2     	09:53:44.5         	11110.0  	-19.9               	0.5                   	76.32528     	10.0839     	10130.5
57:16.1     	09:53:45.4         	11092.0  	-19.9               	3.9                   	76.32530     	10.0839     	10110.6
57:17.2     	09:53:46.5         	11074.7  	-20.1               	5.7                   	76.32533     	10.0840     	10090.6
57:18.1     	09:53:47.4         	11058.3  	-20.1               	4.9                   	76.32535     	10.0840     	10070.5
57:19.2     	09:53:48.5         	11041.4  	-20.1               	2.1                   	76.32535     	10.0840     	10050.3
57:20.1     	09:53:49.4         	11024.0  	-20.0               	4.5                   	76.32537     	10.0841     	10030.1
57:21.2     	09:53:50.6         	4682.1   	-20.0               	5.9                   	76.32540     	10.0841     	0.0
57:22.1     	09:53:51.5         	10991.0  	-20.1               	3.7                   	76.32541     	10.0841     	9990.0
57:23.2     	09:53:52.6         	10974.0  	-20.0               	2.8                   	76.32541     	10.0842     	9969.8
57:24.1     	09:53:53.5         	10957.2  	-20.0               	5.8                   	76.32543     	10.0842     	9949.8
57:26.2     	09:53:55.5         	10941.6  	-19.9               	6.1                   	76.32544     	10.0843     	9929.8
57:29.1     	09:53:58.4         	10875.1  	-19.8               	5.1                   	76.32546     	10.0844     	9850.2
57:30.2     	09:53:59.5         	10858.8  	-19.8               	2.5                   	76.32546     	10.0844     	9830.3
57:31.1     	09:54:00.4         	10841.6  	-19.8               	2.5                   	76.32546     	10.0844     	9810.5
57:32.2     	09:54:01.5         	---      	---                 	---                   	---          	---         	---
57:33.1     	09:54:02.4         	10808.2  	-19.8               	2.8                   	76.32549     	10.0845     	9770.8
57:34.2     	09:54:03.5         	10791.0  	-19.8               	1.4                   	76.32550     	10.0845     	9750.9
57:35.1     	09:54:04.5         	10773.4  	-19.6               	4.4                   	76.32552     	10.0845     	9731.1
57:36.2     	09:54:05.6         	10757.0  	-19.4               	5.6                   	76.32556     	10.0845     	9711.5
57:38.2     	09:54:07.6         	10724.9  	-19.5               	1.6                   	76.32556     	10.0846     	9672.3
57:39.1     	09:54:08.5         	10707.5  	-19.5               	1.8                   	76.32556     	10.0846     	9652.7
57:41.2     	09:54:10.5         	4734.0   	-19.5               	3.7                   	76.32558     	10.0846     	0.0
57:42.1     	09:54:11.4         	10656.6  	-19.5               	1.0                   	76.32559     	10.0846     	9594.1
57:43.2     	09:54:12.5         	10638.3  	-19.3               	3.5                   	76.32560     	10.0846     	9574.7
57:44.1     	09:54:13.4         	10619.6  	-18.8               	5.5                   	76.32563     	10.0846     	9555.6
57:45.2     	09:54:14.5         	10601.3  	-18.5               	6.2                   	76.32568     	10.0846     	9536.9
57:46.1     	09:54:15.4         	10584.1  	-18.7               	5.1                   	76.32573     	10.0846     	9518.3
57:47.2     	09:54:16.5         	10567.7  	-19.2               	2.7                   	76.32575     	10.0846     	9499.2
57:48.1     	09:54:17.4         	4729.1   	0.0                 	1.1                   	76.32575     	10.0846     	0.0
57:49.2     	09:54:18.5         	10533.2  	-19.0               	2.8                   	76.32575     	10.0846     	9460.7
57:50.1     	09:54:19.4         	10514.8  	-19.0               	3.8                   	76.32576     	10.0845     	9441.6
57:51.3     	09:54:20.6         	10496.9  	-19.2               	3.5                   	76.32578     	10.0845     	9422.4
57:52.2     	09:54:21.5         	10480.2  	-19.3               	2.4                   	76.32580     	10.0845     	9403.0
57:53.3     	09:54:22.6         	10463.5  	-19.2               	1.5                   	76.32579     	10.0846     	9383.7
57:55.1     	09:54:24.4         	4721.5   	-18.9               	4.1                   	76.32580     	10.0845     	0.0
57:56.2     	09:54:25.5         	---      	---                 	---                   	---          	---         	---
57:57.1     	09:54:26.4         	10393.1  	-19.0               	3.1                   	76.32586     	10.0845     	9307.4
57:58.2     	09:54:27.5         	10376.6  	-19.1               	0.4                   	76.32587     	10.0845     	9288.3
57:59.1     	09:54:28.4         	10359.1  	-19.2               	2.5                   	76.32587     	10.0845     	9269.1
58:00.2     	09:54:29.5         	10342.0  	-19.1               	2.8                   	76.32590     	10.0845     	9249.9
58:01.1     	09:54:30.4         	10325.7  	-19.0               	2.1                   	76.32590     	10.0845     	9230.8
58:02.2     	09:54:31.5         	10309.3  	-18.8               	2.6                   	76.32589     	10.0845     	9211.8
58:03.1     	09:54:32.4         	10292.0  	-18.6               	3.8                   	76.32586     	10.0845     	9193.1
58:04.2     	09:54:33.5         	10273.9  	-18.7               	3.4                   	76.32586     	10.0845     	9174.4
58:05.1     	09:54:34.4         	10256.3  	-18.9               	0.8                   	76.32587     	10.0845     	9155.5
58:06.3     	09:54:35.6         	10239.2  	-18.9               	2.0                   	76.32586     	10.0845     	9136.5
58:07.1     	09:54:36.4         	10221.4  	-18.7               	3.6                   	76.32586     	10.0845     	9117.6
58:08.3     	09:54:37.6         	10203.1  	-18.7               	4.3                   	76.32587     	10.0844     	9098.9
58:09.1     	09:54:38.4         	10185.6  	-18.7               	3.7                   	76.32590     	10.0844     	9080.2
58:13.2     	09:54:42.5         	10120.2  	-18.5               	3.8                   	76.32590     	10.0844     	9005.8
58:14.1     	09:54:43.4         	10101.9  	-18.5               	5.0                   	76.32591     	10.0844     	8987.2
58:15.2     	09:54:44.5         	10084.0  	-18.4               	5.7                   	76.32596     	10.0844     	8968.6
58:16.2     	09:54:45.5         	10067.5  	-18.2               	5.8                   	76.32601     	10.0844     	8950.2
58:17.3     	09:54:46.6         	10052.1  	-18.0               	4.8                   	76.32605     	10.0844     	8932.0
58:19.3     	09:54:48.6         	10022.1  	-18.3               	1.3                   	76.32606     	10.0844     	8895.4
58:21.3     	09:54:50.6         	9988.0   	-18.4               	3.7                   	76.32608     	10.0844     	8858.3
58:23.1     	09:54:52.4         	9955.2   	-18.6               	1.0                   	76.32611     	10.0844     	8821.2
58:24.2     	09:54:53.5         	9937.8   	-18.6               	3.7                   	76.32611     	10.0844     	8802.5
58:25.1     	09:54:54.4         	9919.3   	-18.4               	5.4                   	76.32612     	10.0844     	8783.8
58:27.1     	09:54:56.4         	9884.3   	-18.2               	2.5                   	76.32618     	10.0843     	8747.2
58:28.2     	09:54:57.5         	9867.9   	-18.3               	1.3                   	76.32619     	10.0843     	8728.8
58:29.1     	09:54:58.4         	9850.4   	-18.4               	4.4                   	76.32618     	10.0843     	8710.4
58:30.2     	09:54:59.5         	9832.1   	-18.3               	5.0                   	76.32619     	10.0842     	8692.0
58:32.2     	09:55:01.5         	9797.8   	-18.3               	0.5                   	76.32623     	10.0842     	8655.2
58:33.1     	09:55:02.4         	9780.7   	-18.3               	3.7                   	76.32622     	10.0842     	8636.8
58:34.2     	09:55:03.5         	---      	---                 	---                   	---          	---         	---
58:35.2     	09:55:04.5         	9744.1   	-18.1               	5.8                   	76.32626     	10.0841     	8600.1
58:36.3     	09:55:05.6         	---      	---                 	---                   	---          	---         	---
58:38.0     	09:55:07.3         	9694.6   	-18.0               	2.5                   	76.32631     	10.0841     	8545.8
58:42.1     	09:55:11.4         	9624.5   	-18.1               	5.1                   	76.32632     	10.0840     	8472.7
58:43.2     	09:55:12.5         	9605.9   	-18.0               	6.6                   	76.32632     	10.0839     	8454.6
58:45.2     	09:55:14.5         	---      	---                 	---                   	---          	---         	---
58:46.1     	09:55:15.4         	9554.2   	-18.0               	1.7                   	76.32636     	10.0839     	8400.3
58:47.3     	09:55:16.6         	9537.5   	-17.9               	4.1                   	76.32635     	10.0838     	8382.3
58:48.1     	09:55:17.4         	9519.9   	-17.9               	4.4                   	76.32634     	10.0838     	8364.3
58:51.0     	09:55:20.3         	9470.9   	-17.8               	2.4                   	76.32635     	10.0838     	8309.9
58:53.0     	09:55:22.3         	9438.9   	-17.8               	2.1                   	76.32636     	10.0838     	8274.0
58:57.1     	09:55:26.5         	---      	---                 	---                   	---          	---         	---
58:58.2     	09:55:27.6         	9361.4   	-17.6               	2.9                   	76.32637     	10.0837     	8185.6
58:59.1     	09:55:28.5         	4630.1   	0.0                 	2.7                   	76.32637     	10.0838     	0.0
59:00.2     	09:55:29.6         	9332.4   	-17.6               	1.7                   	76.32637     	10.0838     	8150.0
59:01.1     	09:55:30.5         	9316.0   	-17.7               	1.9                   	76.32636     	10.0838     	8131.8
59:02.2     	09:55:31.6         	9299.5   	-17.5               	3.0                   	76.32637     	10.0838     	8113.7
59:03.1     	09:55:32.5         	9284.5   	-17.3               	3.9                   	76.32640     	10.0838     	8096.1
59:04.0     	09:55:33.4         	9270.8   	-17.3               	3.2                   	76.32641     	10.0838     	8078.8
59:05.1     	09:55:34.5         	9256.5   	-17.4               	1.7                   	76.32640     	10.0838     	8061.5
59:06.1     	09:55:35.5         	9240.4   	-17.5               	2.5                   	76.32639     	10.0838     	8043.7
59:07.2     	09:55:36.6         	9224.0   	-17.3               	3.9                   	76.32641     	10.0838     	8026.1
59:09.2     	09:55:38.6         	9194.6   	-17.2               	3.2                   	76.32647     	10.0838     	7991.3
59:11.2     	09:55:40.6         	9165.5   	-17.5               	3.5                   	76.32644     	10.0838     	7956.2
59:12.1     	09:55:41.5         	9149.2   	-17.5               	2.6                   	76.32642     	10.0838     	7938.5
59:13.2     	09:55:42.6         	9133.3   	-17.4               	1.1                   	76.32643     	10.0838     	7920.7
59:16.2     	09:55:45.5         	9105.6   	-17.4               	4.8                   	76.32641     	10.0838     	7885.7
59:17.3     	09:55:46.6         	9076.9   	-17.4               	4.0                   	76.32633     	10.0838     	7850.6
59:18.2     	09:55:47.5         	9061.0   	-17.3               	2.3                   	76.32631     	10.0838     	7833.1
59:19.1     	09:55:48.4         	9045.6   	-17.1               	1.1                   	76.32631     	10.0838     	7815.8
59:23.0     	09:55:52.4         	---      	---                 	---                   	---          	---         	---
59:24.2     	09:55:53.6         	8978.9   	-17.4               	4.4                   	76.32622     	10.0839     	7729.5
59:26.2     	09:55:55.6         	8961.9   	-17.1               	2.1                   	76.32618     	10.0839     	7712.2
59:27.1     	09:55:56.5         	8931.3   	-16.9               	2.9                   	76.32618     	10.0839     	7677.9
59:28.2     	09:55:57.6         	8915.2   	-17.3               	4.1                   	76.32616     	10.0838     	7660.8
59:30.2     	09:55:59.6         	8883.0   	-18.1               	4.8                   	76.32608     	10.0838     	7624.6
